,state,fips,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65,per_high_65,per_bachelor_65,per_employment_65,per_veteran_65,per_stamp_house_all,per_insured_65
23,Minnesota,27,2013,5420380,754718,38531,60702,0.11193935092703654,0.07391689209871027,0.4964753272910373,0.15,0.05,0.069,0.177,0.064,0.118,0.8479270826030647,0.05433696530501552,0.010918791671432629,0.043172803382788665,0.0003234090598814105,0.016245171002771022,0.027075776975046033,0.4234349783627792,0.8740000000000001,0.243,0.1706082628213452,0.2518366127480728,0.09225954902795061,0.9951204648174345
24,Mississippi,28,2013,2991207,414365,29511,37963,0.2404874889763105,0.14666200454556808,0.4850669412976314,0.166,0.096,0.13,0.319,0.117,0.199,0.5899424546679651,0.3771989033189612,0.004451046015872522,0.009413925549117798,8.95959390306321e-05,0.008116121685994985,0.010787952823057716,0.3267578101432312,0.7290000000000001,0.182,0.15155092673850348,0.2191330824080219,0.19415638101488356,0.9977047378805665
25,Missouri,29,2013,6044171,908358,34436,46931,0.15885763014525314,0.09374418150263772,0.4897959183673469,0.161,0.066,0.08900000000000001,0.238,0.08,0.14800000000000002,0.8279003026221462,0.11453812276323752,0.0037717331293241037,0.016979334304075774,0.0009084785986366037,0.010755982913124068,0.025146045669455747,0.3975525068310072,0.818,0.19899999999999998,0.1651311396024475,0.23366685052259129,0.13746982990478038,0.994877423655568
26,Montana,30,2013,1015165,165080,35457,46972,0.16518928369891875,0.09239055810063536,0.4994994994994994,0.17800000000000002,0.059,0.077,0.202,0.058,0.116,0.8912245792555891,0.003172883225879537,0.06818201967167899,0.006450182975181375,0.00048366521698443117,0.004977515970310245,0.02550915368437643,0.4524170099345772,0.884,0.27899999999999997,0.18426462357644782,0.24683612754422102,0.10694876540778955,0.9959368875684987
27,Nebraska,31,2013,1868516,264628,37343,51440,0.1318779553472335,0.08418944009627985,0.4952044422009086,0.168,0.062,0.07400000000000001,0.21,0.07,0.127,0.8832453133930884,0.04603118196472495,0.007709326545772153,0.01999233616410028,0.0008851944537804332,0.019197587818354244,0.022939059660179523,0.41864050667351904,0.882,0.19899999999999998,0.2102317040675968,0.23607465553153864,0.0907513082089685,0.9927988060032383
28,Nevada,32,2013,2790136,380832,41491,51230,0.15763671451777805,0.08702770948235762,0.5029821073558649,0.147,0.077,0.086,0.227,0.07,0.132,0.6834304851089696,0.0839310341861472,0.010757898539712759,0.07710054276924136,0.006559536882789943,0.09614083327837784,0.04207966923476132,0.3873991681371313,0.836,0.225,0.16253667538442146,0.22705314883203095,0.11813128446763371,0.9786484151770882
29,New Hampshire,33,2013,1323459,202960,42406,64230,0.08702517442890582,0.05607371269268613,0.4931576279776989,0.16399999999999998,0.051,0.07200000000000001,0.198,0.055,0.118,0.9344883370017508,0.012165091627319016,0.002328746111515355,0.023541341288245424,8.009314984446062e-05,0.008212570242070212,0.01918382057925481,0.4395151754040205,0.868,0.28600000000000003,0.20250305106917618,0.2510307505074892,0.08553941676970069,0.9988725811741554
30,New Jersey,34,2013,8899339,1284407,45092,70165,0.11449923804696932,0.08154506093070213,0.4879672299027138,0.125,0.062,0.081,0.222,0.083,0.153,0.6819017682099761,0.13662093330751868,0.0018453055895499653,0.0901054561467992,0.00018349677431099096,0.06492122617196626,0.024421813799878844,0.346242273671819,0.804,0.258,0.18581530099259816,0.2968693558926416,0.09592747672567227,0.9843514954184513
31,New Mexico,35,2013,2085287,307157,35785,43872,0.21925323237192493,0.11722967148105412,0.4959677419354839,0.2,0.096,0.112,0.265,0.096,0.16899999999999998,0.75269495278108,0.020013072541093864,0.09082298983305416,0.013558805094934177,0.0007778305815938046,0.08885059946184866,0.03328174970639533,0.3929619054750502,0.7879999999999999,0.273,0.15969750356006868,0.22567973529497948,0.16700176640694778,0.984167561904004
32,New York,36,2013,19651127,2829843,37769,57369,0.15969736133734486,0.11587842083837313,0.48533196088522906,0.123,0.064,0.086,0.231,0.08900000000000001,0.157,0.6460331766213714,0.15671274222592932,0.003726554716174802,0.07912930388165522,0.0005069429351303872,0.08515531959057615,0.028735960029162705,0.32952994212046394,0.779,0.253,0.16812714903158937,0.2721727924969689,0.15804719977793033,0.9900106957593274
33,North Carolina,37,2013,9848060,1404718,34931,45906,0.17890565739809144,0.10011439509471487,0.486916367367881,0.152,0.076,0.102,0.251,0.08900000000000001,0.165,0.69165916942017,0.21544466625914135,0.011436770287752106,0.024218170888479558,0.0006763768701652914,0.03258611340710759,0.023978732867183997,0.35790671152501785,0.7929999999999999,0.22399999999999998,0.15075814664580367,0.2240340092175084,0.14711003119111746,0.9941483354817529
34,North Dakota,38,2013,723393,102550,35293,55759,0.11801506447302272,0.09433160181239438,0.5102840352595495,0.171,0.061,0.067,0.198,0.058,0.116,0.8895275458844639,0.01496696816253406,0.05559080610401262,0.01257407799080168,0.0005128609206890306,0.006386569955750193,0.02044117098174851,0.43142857142857133,0.802,0.175,0.20734679514383225,0.21736354853242318,0.07644704288999592,0.9980714796727737
35,Ohio,39,2013,11570808,1751963,35072,48081,0.15974588472162204,0.08403777705872836,0.4890137966274911,0.14800000000000002,0.06,0.087,0.223,0.079,0.152,0.8245987661362975,0.12143905594146925,0.0015792328418205539,0.018369244395032742,0.00026947124176634855,0.008166153997197084,0.02557807544641653,0.3881685857520963,0.8240000000000001,0.19399999999999998,0.1528739435570272,0.24089187442428864,0.15416370465381965,0.9949299085432588
36,Oklahoma,40,2013,3850568,547927,35005,45690,0.1678370167971949,0.09460160274973407,0.4952044422009086,0.2,0.095,0.101,0.279,0.091,0.157,0.7312448449163864,0.07194159407131623,0.07528993125170105,0.01855128905657555,0.0014247248717591794,0.02689759017370944,0.0746500256585522,0.38235202864615175,0.8290000000000001,0.204,0.17145743514008255,0.2266304953616084,0.14329254178709397,0.992984308849385
37,Oregon,41,2013,3930065,604596,38232,50251,0.16666480658189695,0.08962414216243239,0.4952044422009086,0.183,0.067,0.104,0.224,0.085,0.14800000000000002,0.8575916683311854,0.018486971589528417,0.010992693505069257,0.038745160703448925,0.0035719511000454197,0.02842904633892824,0.04218250843179439,0.4254163110573011,0.887,0.287,0.14014681109368898,0.257906534181503,0.1980523677991651,0.9957665705518272
38,Pennsylvania,42,2013,12773801,2089972,35009,52007,0.13683882208868658,0.08508634441496239,0.4887525562372188,0.142,0.059,0.081,0.213,0.071,0.147,0.8163344645810593,0.11030553865681796,0.0017892090224358433,0.03012282718354545,0.0001754372093318191,0.020675052006838057,0.02059747133997156,0.3902765204509917,0.82,0.196,0.16305455914146216,0.2643601037013892,0.1251816702281928,0.9940960191266504
39,Rhode Island,44,2013,1051511,162864,39577,55902,0.1428988343208086,0.08472752113837904,0.4879672299027138,0.147,0.061,0.084,0.213,0.076,0.151,0.8046534938769067,0.06423232852533163,0.003933387287436841,0.03161165218433283,0.0005049875845331149,0.06948001494991493,0.025584135591543974,0.3887599469496021,0.7490000000000001,0.251,0.17244976673789175,0.26662890366809117,0.1595212197870885,0.9966036811713755
40,South Carolina,45,2013,4774839,725107,35042,44163,0.18575495795264088,0.10173402726454407,0.486125385405961,0.156,0.07,0.097,0.239,0.091,0.158,0.6722530330342028,0.27647654716734954,0.002994237083177045,0.013623077134119078,0.0006569855025478346,0.014990662512390469,0.019005457566213232,0.35362505119934023,0.79,0.22899999999999998,0.15069143681691113,0.22349534021875392,0.15539928099837938,0.9944648481825286
41,South Dakota,46,2013,844877,124503,36354,48947,0.14165283314254726,0.10095249394098606,0.5019920318725101,0.172,0.064,0.076,0.217,0.079,0.128,0.8511440126787686,0.015388038732265168,0.08519701684387193,0.010776716610820272,0.0004971137810592548,0.007955004101188694,0.02904209725202604,0.4275800583118479,0.85,0.207,0.22009703073821518,0.22138637019188293,0.12520895819629096,0.9951527888412454
42,Tennessee,47,2013,6495978,950190,34462,44297,0.1778562797786054,0.09697778645918112,0.4887525562372188,0.173,0.083,0.107,0.259,0.098,0.173,0.7789633831887978,0.16971347501484765,0.002478610611058104,0.015201098279581613,0.0004602848100778666,0.014214025971147069,0.018969122124489955,0.3887285700754586,0.768,0.192,0.15278219760679443,0.22714969114387648,0.17170090219893674,0.9948899089537824
43,Texas,48,2013,26448193,2966527,37588,51704,0.17535026882358284,0.10992432519453016,0.4969818913480885,0.166,0.084,0.1,0.262,0.099,0.16699999999999998,0.7501596422863369,0.11883102940151714,0.004494144458186614,0.04120912910761049,0.0007521118739567576,0.060095409920821435,0.024458532951570643,0.3743994239728814,0.762,0.235,0.1820018533126447,0.20555671254905147,0.14052581026167363,0.9799011241755866
44,Utah,49,2013,2900872,282680,44384,59770,0.1266596460146578,0.07200266835949687,0.5029821073558649,0.173,0.064,0.084,0.202,0.07,0.131,0.8737145244602312,0.011291087645370082,0.011487925010134884,0.02160419349767932,0.009484389521495605,0.048125184427303236,0.0242926954377856,0.4386691665487477,0.905,0.309,0.1769174801188623,0.23261980506579882,0.08960560326857334,0.9924647536250596
45,Vermont,50,2013,626630,102658,35844,52578,0.12291009031795505,0.07965136174238611,0.4926433282597666,0.168,0.055,0.09,0.199,0.077,0.134,0.9497598263728196,0.01146450058248089,0.002519828287825352,0.012192202735266423,0.0003542760480666422,0.002606003542760481,0.021103362430780526,0.44229382999863626,0.851,0.327,0.2184091647022151,0.2746091920746557,0.14772502902453857,0.9974033293745849
46,Virginia,51,2013,8260405,1104809,44440,62666,0.11718717230689953,0.07363677624327303,0.4916115912557194,0.136,0.061,0.093,0.212,0.08199999999999999,0.149,0.6932936096958926,0.1927781991318828,0.0023745809073526056,0.05865293529796663,0.0007031132250779473,0.019691770560886543,0.032505791180940886,0.3550405545211887,0.797,0.28,0.18525945669341942,0.18328558888459454,0.0996612086340258,0.9890886523837311
47,Washington,53,2013,6971406,950766,42287,58405,0.14149282166189653,0.08086328399145787,0.4984954864593781,0.177,0.066,0.098,0.226,0.085,0.153,0.7802880796212414,0.03720009995114328,0.013654777816698669,0.07689883504131018,0.0060726631041141494,0.03666175804421662,0.049223786421275714,0.406308176775358,0.882,0.298,0.15522711689311566,0.22077886110778047,0.14780509552261495,0.9921586076369745
48,West Virginia,54,2013,1854304,320013,31542,41253,0.1848152609235786,0.0943748753867032,0.4944388270980789,0.203,0.097,0.109,0.295,0.11,0.19,0.9371079391512934,0.033860683037948466,0.0009933646262964434,0.0056382340759659685,0.000834275286037241,0.0032734654080452826,0.018292038414413167,0.43128560402233657,0.758,0.142,0.12546174751650715,0.24036598053204095,0.1616631896167754,0.99790328078672
49,Wisconsin,55,2013,5742713,848607,34721,51467,0.13508392427443552,0.08993858958387678,0.4972347913524384,0.14400000000000002,0.056,0.069,0.203,0.07,0.13,0.8659581281530175,0.062322285651398565,0.008646261792988785,0.024829727691423897,0.00026329019054234466,0.01688000079404978,0.021100305726579057,0.42263262028241577,0.853,0.21,0.1506519234533771,0.2541092321298316,0.13302123154120862,0.9969197276390754
50,Wyoming,56,2013,582658,77554,40934,58752,0.1089728389076544,0.07565689122332311,0.5105237395986294,0.184,0.064,0.066,0.19,0.056,0.106,0.9067119991487288,0.012760487284135806,0.023470028730404456,0.00983252611308864,0.0003175104435191828,0.01947797850540111,0.02742946977472205,0.4593057740413132,0.883,0.226,0.20735694870670762,0.20023468829460767,0.05878492698758499,0.9968299444245488
51,Puerto Rico,72,2013,3615086,599663,15629,19183,0.4542019034345746,0.4043968143529745,0.4783515910276474,0.14800000000000002,0.162,0.193,0.344,0.128,0.297,0.7183051800150813,0.07761336798073408,0.004409853596843893,0.003042251277009731,2.3789198929154103e-05,0.10702456317775012,0.08958099475365178,0.3338291673823464,0.489,0.13699999999999998,0.06348041413260448,0.28716296740669345,0.37714187717856884,0.9924259823424908
