,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Troup County, Georgia: Summary level: 050, state:13> county:285",554110.0,206990.0,1787.0,17141.0,64.0,5458.0,16488.0,802038.0,1772,873,234,23716,17394,9601,503.0,106.0,0.0,6549.0,3959.0,1984.0,,,,,,,291.0,128.0,75.0,434.0,138.0,52.0,,,,,,,,,,,,,309.0,36.0,0.0,551.0,22.0,,,,,,,
"Bartholomew County, Indiana: Summary level: 050, state:18> county:005",71246.0,1214.0,53.0,1455.0,0.0,653.0,1050.0,75671.0,2942,1286,570,3220,1710,1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark County, Indiana: Summary level: 050, state:18> county:019",213220.0,8780.0,206.0,3006.0,93.0,1409.0,2868.0,229582.0,3857,1493,780,10993,6957,3680,386.0,0.0,52.0,278.0,155.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson County, Tennessee: Summary level: 050, state:47> county:001",156030.0,5225.0,146.0,1749.0,0.0,495.0,3892.0,167537.0,3406,1800,522,7174,3907,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"White County, Arkansas: Summary level: 050, state:05> county:145",259255.0,25718.0,498.0,2708.0,538.0,4267.0,8494.0,301478.0,2883,1720,354,12514,7239,4328,,,,863.0,464.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,207.0,0.0,0.0,27.0,0.0,,,,,,,
"Roanoke County, Virginia: Summary level: 050, state:51> county:161",321504.0,84787.0,1365.0,7234.0,0.0,7888.0,15220.0,437998.0,3986,2118,773,14492,8931,6229,,,,2532.0,1569.0,567.0,,,,,,,292.0,162.0,0.0,206.0,100.0,0.0,,,,,,,117.0,18.0,27.0,120.0,24.0,0.0,79.0,26.0,0.0,83.0,129.0,,,,,,,
"Greene County, Ohio: Summary level: 050, state:39> county:057",188790.0,36821.0,854.0,1382.0,183.0,1814.0,5301.0,235145.0,5720,2925,1181,9985,6874,5535,130.0,142.0,36.0,1400.0,887.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burleigh County, North Dakota: Summary level: 050, state:38> county:015",166543.0,3219.0,500.0,1796.0,0.0,296.0,1330.0,173684.0,2812,1470,724,7337,4292,1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilkes County, North Carolina: Summary level: 050, state:37> county:193",97097.0,2302.0,76.0,832.0,0.0,472.0,2281.0,103060.0,3312,1390,696,4932,3012,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Darlington County, South Carolina: Summary level: 050, state:45> county:031",395281.0,110882.0,443.0,10639.0,153.0,3149.0,13778.0,534325.0,2061,996,110,19446,13355,7265,390.0,794.0,63.0,4376.0,2849.0,1144.0,,,,,,,418.0,0.0,0.0,457.0,339.0,0.0,,,,,,,,,,,,,128.0,80.0,0.0,111.0,162.0,,,,,,,
"Kennebec County, Maine: Summary level: 050, state:23> county:011",148144.0,6440.0,17.0,2762.0,0.0,804.0,3284.0,161451.0,5217,2694,931,6355,3704,1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rutherford County, North Carolina: Summary level: 050, state:37> county:161",106756.0,9315.0,437.0,659.0,0.0,749.0,4757.0,122673.0,3124,1139,619,5524,4144,1537,,,,333.0,81.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jefferson County, Arkansas: Summary level: 050, state:05> county:069",70032.0,3095.0,175.0,368.0,23.0,73.0,3663.0,77429.0,1781,804,301,3231,1648,973,1012.0,489.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hancock County, Indiana: Summary level: 050, state:18> county:059",333169.0,23989.0,748.0,2564.0,155.0,724.0,13519.0,374868.0,2760,1233,449,16728,10620,6890,,,,921.0,599.0,217.0,,,,,,,,,,,,,,,,,,,,,,,,,51.0,87.0,0.0,95.0,137.0,,,,,,,
"Berkshire County, Massachusetts: Summary level: 050, state:25> county:003",435352.0,76037.0,857.0,12033.0,246.0,853.0,15433.0,540811.0,5946,2919,1931,20316,14035,7865,,,,2773.0,1477.0,850.0,,,,,,,278.0,155.0,27.0,349.0,58.0,0.0,,,,,,,,,,,,,107.0,0.0,0.0,202.0,60.0,,,,,,,
"Marquette County, Michigan: Summary level: 050, state:26> county:103",184683.0,17556.0,265.0,333.0,44.0,430.0,4095.0,207406.0,2762,1309,668,9963,6820,3292,,,,460.0,462.0,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daviess County, Kentucky: Summary level: 050, state:21> county:059",196394.0,7865.0,203.0,9164.0,101.0,1054.0,2460.0,217241.0,3613,2138,327,7643,4075,2021,,,,,,,,,,,,,119.0,50.0,0.0,160.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
