,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E
"Indiana: Summary level: 040, state:18",889426,81.2,17.3,34636,46974,22.7,5.5,4.3,3.3,2.4,1.9,1.8,6342423,990325,853449,61185,96.9,11.9,15.2,15.6,6.4,8.4,23.0,7.7,14.1,22.0,22.0,316634,2480077,853449,3929
"Iowa: Summary level: 040, state:19",469618,86.1,18.4,34731,50957,27.4,6.3,4.4,3.4,2.9,2.2,2.4,2974225,377484,445679,34907,98.3,13.3,17.2,14.5,4.8,6.4,19.3,6.5,11.5,21.7,25.8,152621,1227048,445684,850
"Kansas: Summary level: 040, state:20",394224,87.1,23.2,36516,50241,31.1,7.0,4.3,2.9,2.4,2.0,2.1,2802207,391734,375663,25112,98.9,12.0,15.3,15.9,5.5,7.8,22.4,7.1,13.9,21.1,22.9,110536,1113911,375663,1802
"Kentucky: Summary level: 040, state:21",613626,70.2,15.4,30023,41724,20.0,5.0,4.7,3.4,2.5,1.7,1.6,4247103,823197,590957,72442,96.8,12.3,15.6,18.2,7.9,11.2,28.4,9.6,18.8,21.8,20.1,310680,1707004,590957,1270
"Louisiana: Summary level: 040, state:22",597750,74.1,18.0,30935,42944,23.6,5.9,4.3,3.2,2.3,1.7,1.5,4471142,891981,576626,72880,95.6,11.4,14.5,16.4,9.1,12.0,29.1,11.4,18.2,21.2,20.3,302676,1719473,576626,3960
"Maine: Summary level: 040, state:23",225973,84.4,25.8,33358,46709,25.7,6.2,5.5,3.9,3.0,2.4,2.2,1293457,189786,219441,18092,95.9,15.5,18.4,17.7,6.1,7.9,19.6,6.1,13.2,23.7,24.2,98551,554543,219441,366
"Maryland: Summary level: 040, state:24",762681,81.8,29.7,47949,71122,30.5,6.9,4.3,3.0,2.1,1.7,1.8,5744445,590803,738832,56048,93.9,11.4,14.4,12.2,5.3,8.3,21.3,7.7,15.1,19.5,19.8,239685,2157717,738832,9060
"Massachusetts: Summary level: 040, state:25",961031,81.6,27.7,38233,65339,30.0,6.7,4.5,3.2,2.4,2.0,2.4,6414762,762645,921944,86132,94.0,12.6,16.2,13.9,6.0,8.7,20.7,8.2,15.6,24.7,29.4,325306,2522394,921944,3223
"Michigan: Summary level: 040, state:26",1442623,82.5,20.2,35504,46859,19.0,4.4,4.7,3.3,2.5,2.0,2.1,9663760,1685178,1404130,116676,96.4,13.0,16.2,15.0,5.9,9.1,22.5,8.5,15.7,23.8,24.2,679475,3819068,1404130,4653
"Minnesota: Summary level: 040, state:27",729910,86.4,23.9,37428,58906,25.8,5.8,4.1,3.1,2.4,1.8,2.1,5257443,598371,700190,55378,98.6,12.1,15.0,14.5,4.8,6.8,18.1,6.6,12.3,23.7,24.6,193271,2111943,700190,2189
"Mississippi: Summary level: 040, state:28",402724,72.1,17.8,28388,37095,21.0,5.8,4.4,3.4,2.4,1.7,1.6,2890890,698252,388958,58810,93.5,11.9,15.0,15.8,9.4,12.8,31.6,11.7,19.8,20.8,19.9,211144,1090521,388958,1157
"Missouri: Summary level: 040, state:29",884325,80.9,18.8,33906,45321,23.8,5.6,4.6,3.5,2.6,2.0,1.9,5838008,947792,847638,76589,96.3,13.0,16.3,16.4,6.6,9.2,24.3,8.0,15.3,22.6,22.6,346528,2359135,847638,3517
"Montana: Summary level: 040, state:30",158585,88.5,26.0,34941,45076,26.8,6.9,5.2,3.7,2.8,1.9,2.1,980594,152199,153829,13211,100.4,14.8,16.7,18.2,5.9,6.3,20.9,6.7,12.2,23.9,20.6,48819,408938,153829,700
"Nebraska: Summary level: 040, state:31",256972,87.4,19.2,35655,50723,34.1,8.1,4.2,3.0,2.5,2.0,2.1,1800904,233973,244517,18114,99.0,12.2,15.5,16.5,5.6,6.9,19.0,6.1,12.1,19.6,23.2,67983,733570,244517,1075
"Nevada: Summary level: 040, state:32",359486,83.5,23.1,40181,49760,21.7,5.3,4.7,3.3,2.2,1.6,1.2,2718565,446840,354755,28744,101.8,12.2,13.9,14.0,7.1,7.9,23.3,6.9,13.9,24.1,19.3,126482,1006605,354755,6743
"New Hampshire: Summary level: 040, state:33",194097,86.2,27.7,41445,63280,28.4,6.4,4.9,3.4,2.5,2.0,1.9,1280027,128466,186886,12289,96.4,13.4,16.0,14.0,5.5,7.2,19.1,5.7,11.1,24.4,23.9,42991,519137,186886,1003
"New Jersey: Summary level: 040, state:34",1250314,79.6,25.6,43254,69667,27.8,6.3,4.4,3.2,2.4,2.0,2.1,8691673,934943,1211763,96051,95.1,12.2,15.9,11.5,5.8,8.2,21.5,8.0,15.8,25.8,30.3,296880,3198799,1211763,19105
"New Mexico: Summary level: 040, state:35",294258,78.7,26.9,34727,42558,22.4,5.6,4.8,3.3,2.5,1.7,1.7,2044778,426245,289580,34515,98.5,12.9,15.3,20.4,9.6,12.3,26.5,10.3,17.7,21.3,19.4,126168,764996,289580,4494
"New York: Summary level: 040, state:36",2759461,77.4,24.5,37246,56448,25.3,5.5,4.3,3.2,2.4,2.0,2.1,19064064,3025016,2661330,304351,94.1,12.2,15.9,11.7,6.1,8.7,23.1,9.2,16.4,24.3,28.8,1125632,7238922,2661330,25713
"North Carolina: Summary level: 040, state:37",1346700,77.2,21.6,33749,45150,21.8,5.6,4.7,3.4,2.4,1.7,1.6,9498993,1713132,1304575,130864,95.0,12.2,15.3,14.5,7.1,9.6,24.2,8.9,16.0,21.9,18.7,572468,3731325,1304575,7945
"North Dakota: Summary level: 040, state:38",100962,79.0,16.4,34462,53585,35.4,6.9,3.9,3.3,2.5,2.4,2.3,674852,75703,95030,10046,104.5,12.4,16.5,15.6,4.6,6.6,17.6,5.6,11.1,19.5,20.6,22396,290944,95030,309
"Ohio: Summary level: 040, state:39",1707568,80.9,17.9,33901,46829,22.7,5.6,4.6,3.4,2.6,2.0,2.1,11227482,1824628,1638504,131878,95.6,13.0,16.5,14.2,5.8,8.3,22.4,7.9,15.1,22.9,23.1,713830,4554672,1638583,7217
"Oklahoma: Summary level: 040, state:40",536007,81.2,19.9,33397,44312,24.0,7.1,4.5,3.5,2.5,1.8,1.7,3699653,637429,517197,51113,98.2,12.5,15.6,18.3,8.0,10.0,26.5,9.0,15.4,23.0,19.8,205425,1446667,517197,3584
"Oregon: Summary level: 040, state:41",581693,88.2,26.5,38428,49161,21.1,4.2,4.9,3.5,2.4,1.9,2.1,3826398,658359,572444,42687,98.3,13.5,16.3,17.0,6.1,10.4,23.0,8.7,15.9,25.4,23.0,304161,1516957,572444,2827
"Pennsylvania: Summary level: 040, state:42",2041930,80.2,19.0,33942,51230,24.8,5.6,4.8,3.5,2.8,2.4,2.5,12353867,1693285,1960414,163435,95.3,13.9,18.0,14.4,5.9,8.4,21.8,7.7,15.5,24.1,27.0,650665,4958249,1960414,10264
"Rhode Island: Summary level: 040, state:44",158825,76.1,24.6,35510,54554,29.7,5.8,4.4,3.3,2.5,2.2,2.7,1010449,138907,151520,14710,93.3,13.1,17.0,14.0,5.7,7.7,20.0,5.8,13.2,26.2,27.3,63753,413083,151520,1333
"South Carolina: Summary level: 040, state:45",694776,76.2,21.7,34541,43107,19.2,5.7,5.2,3.7,2.6,1.7,1.6,4585454,837770,676616,68381,94.6,13.2,16.1,14.5,7.7,10.3,24.6,9.1,16.1,21.8,18.1,290507,1787340,676616,5843
"South Dakota: Summary level: 040, state:46",121092,81.7,20.2,34913,48362,32.6,8.4,3.9,3.5,2.4,2.3,2.4,804310,107846,114328,11444,100.5,12.9,16.1,18.4,6.1,7.5,19.4,5.5,12.6,19.3,23.9,33587,323765,114328,487
"Tennessee: Summary level: 040, state:47",920721,74.6,18.1,32963,42764,20.7,5.9,4.9,3.5,2.5,1.9,1.6,6295994,1129330,893371,89642,95.0,12.7,15.7,16.4,7.1,11.4,26.7,10.4,17.9,22.2,19.9,439997,2480090,893371,3974
"Texas: Summary level: 040, state:48",2837722,75.8,23.3,36675,50740,25.8,6.2,3.8,2.6,1.9,1.4,1.3,25450518,4562352,2754147,319745,98.7,9.7,12.1,16.2,8.0,10.7,26.4,10.3,17.5,20.7,18.4,1278792,8970959,2754147,55575
"Utah: Summary level: 040, state:49",271882,90.0,29.8,42491,57049,26.4,5.8,3.1,2.3,1.7,1.3,1.1,2806020,360017,267921,18175,101.0,8.7,10.4,17.0,6.1,8.3,20.8,6.9,13.6,21.7,23.9,87948,895691,267921,1801
"Vermont: Summary level: 040, state:50",98489,85.0,30.1,36848,52977,33.1,7.1,5.2,3.7,2.6,2.1,2.2,601611,71084,95290,7153,97.6,14.3,17.1,15.9,5.7,6.9,18.8,6.7,12.0,25.0,23.1,37934,258520,95290,165
"Virginia: Summary level: 040, state:51",1062133,78.3,27.1,41982,61741,27.2,5.9,4.4,3.2,2.2,1.6,1.6,7936903,931805,1036160,82014,96.3,11.5,14.4,12.8,6.3,8.8,21.9,8.6,15.2,18.8,15.9,295261,3038967,1036160,10402
"Washington: Summary level: 040, state:53",907618,87.9,29.2,41474,57573,23.1,4.0,4.5,3.1,2.1,1.7,1.7,6761934,915278,887823,69638,99.6,11.9,14.4,16.1,5.9,8.8,21.0,7.9,14.3,22.0,19.1,397413,2636817,887828,7901
"West Virginia: Summary level: 040, state:54",311104,73.9,13.1,29897,40196,16.9,5.2,5.3,4.1,3.0,2.2,2.0,1801131,320055,302559,26767,96.6,15.2,18.3,19.9,9.3,12.3,28.7,10.6,19.5,23.9,21.5,116622,741544,302559,1051
"Wisconsin: Summary level: 040, state:55",824030,83.8,19.2,34652,51059,23.4,5.6,4.3,3.3,2.5,2.1,2.1,5573134,737356,794421,59425,98.6,12.8,16.0,13.8,5.0,7.0,19.5,6.9,13.1,23.2,24.3,304523,2288362,794421,2732
"Wyoming: Summary level: 040, state:56",75050,85.9,20.7,36362,54901,29.2,8.6,4.2,3.3,2.1,1.7,1.6,561445,71019,72922,3527,103.2,12.0,14.1,18.0,6.8,7.3,21.4,5.9,12.5,23.5,17.4,15615,223513,72922,538
"Puerto Rico: Summary level: 040, state:72",582034,47.5,13.0,15731,19429,8.6,2.9,5.1,4.1,2.9,1.8,2.0,3633892,1632533,574817,228057,92.0,14.4,17.2,14.9,17.2,20.0,35.1,14.0,30.7,24.8,32.0,480672,1263694,574817,4814
