,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_011E,S2701_C04_011E
"Louisiana: Summary level: 040, state:22",674179,537120,142742,33632,45146,24.2,7.1,4.9,3.7,2.5,1.7,1.6,4546017,918187,654026,84798,95.9,12.8,15.9,15.9,8.3,10.4,26.2,9.7,16.2,61184,52977,287164,1720801,654026,2409
"Maine: Summary level: 040, state:23",256652,225970,72236,37344,53079,26.4,5.8,6.9,4.5,3.0,2.2,2.6,1295971,161749,249483,22622,95.6,17.9,20.6,16.9,5.4,8.0,18.5,5.8,11.8,30038,27908,75618,531660,249483,241
"Maryland: Summary level: 040, state:24",876448,754220,297955,55246,78945,30.9,8.7,5.1,3.5,2.5,1.7,1.8,5875026,567715,852181,69862,94.2,13.0,16.1,10.9,5.4,7.1,20.4,6.8,12.9,88786,72232,241614,2194657,852181,7975
"Massachusetts: Summary level: 040, state:25",1074425,915578,365971,45893,75297,31.2,7.8,5.1,3.9,2.6,1.9,2.3,6574249,686597,1036071,88013,94.3,14.0,17.4,13.7,5.2,7.9,19.5,7.5,13.3,87077,92960,308996,2579398,1036071,3489
"Michigan: Summary level: 040, state:26",1609065,1397958,385035,40765,52492,20.7,5.4,5.6,3.9,2.7,1.9,2.1,9702321,1451936,1570916,127448,96.8,14.6,17.7,15.4,5.9,8.6,21.5,7.5,13.9,170769,138617,547147,3884153,1570923,4103
"Minnesota: Summary level: 040, state:27",830335,746482,228449,43242,65599,27.0,6.1,5.1,3.5,2.4,1.9,2.2,5396363,533276,800451,57881,99.1,13.6,16.5,14.4,4.9,6.2,17.3,6.3,11.8,87607,83490,176238,2148725,800451,1421
"Mississippi: Summary level: 040, state:28",449634,347554,91262,33026,41754,21.5,5.3,5.3,3.7,2.6,1.7,1.7,2892894,602768,436500,53605,93.1,13.6,16.4,15.2,8.6,12.3,28.6,11.4,18.8,43993,34458,171868,1091245,436500,1412
"Missouri: Summary level: 040, state:29",976979,832688,221748,39143,51746,24.6,6.3,5.3,3.9,2.7,2.0,2.1,5911040,826954,937554,77251,96.7,14.4,17.6,15.6,6.7,8.6,23.2,7.5,14.2,121363,95121,271761,2372190,937554,3123
"Montana: Summary level: 040, state:30",183881,166632,53347,37616,50027,25.2,6.9,6.2,4.3,3.0,2.0,2.1,1018105,135638,179446,15995,101.8,16.7,18.6,17.1,5.6,7.1,19.8,5.1,10.4,23797,19728,43952,416125,179446,362
"Nebraska: Summary level: 040, state:31",285290,257274,71144,40762,56927,31.2,8.8,4.9,3.4,2.4,2.0,2.2,1851069,211453,273174,21402,99.3,13.4,16.5,16.9,5.5,7.3,20.6,6.0,12.0,31951,29229,66941,747562,273174,1097
"Nevada: Summary level: 040, state:32",441761,383737,112557,43947,55180,22.0,6.3,5.4,4.0,2.6,1.6,1.3,2896888,399420,437519,38138,100.4,14.1,15.9,15.0,7.6,8.5,22.2,7.4,12.9,60072,41050,138304,1055158,437519,6675
