,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_011E,S2701_C04_011E
"Iowa: Summary level: 040, state:19",501152,442465,98903,40144,54736,27.5,7.5,4.9,3.7,2.8,2.1,2.5,3021823,367414,477527,33621,98.4,14.3,17.8,15.8,5.0,6.8,19.1,6.3,11.0,53507,54577,140748,1247249,477527,982
"Kansas: Summary level: 040, state:20",426052,375675,109648,41000,53906,29.4,8.0,4.7,3.4,2.5,2.0,2.1,2830943,368879,407106,29816,99.1,13.0,16.3,16.4,6.4,7.8,21.7,6.3,12.8,48151,38905,94062,1111582,407106,1473
"Kentucky: Summary level: 040, state:21",674128,513954,125399,34909,45215,20.6,5.4,5.3,3.8,2.6,1.8,1.7,4290022,794055,651569,72694,96.7,13.6,16.8,17.4,8.1,10.5,26.9,8.7,16.4,75724,57270,283701,1716168,651569,2379
"Louisiana: Summary level: 040, state:22",653608,514847,131175,32870,45727,24.1,7.0,4.9,3.4,2.4,1.8,1.6,4541688,889946,631982,81168,95.9,12.4,15.5,14.9,8.1,10.3,27.1,10.0,16.9,65006,51070,259119,1737908,631982,2569
"Maine: Summary level: 040, state:23",250568,218389,76149,37042,51494,27.1,6.9,6.5,4.5,3.2,2.2,2.4,1292996,172620,243336,21516,96.0,17.4,20.2,16.5,4.7,7.6,19.1,6.2,11.8,30525,26259,86238,545226,243336,354
"Maryland: Summary level: 040, state:24",846985,716480,276109,53401,75847,29.1,7.4,4.9,3.4,2.4,1.7,1.8,5863290,570776,823583,59985,94.1,12.5,15.6,11.6,5.6,8.0,20.6,7.4,14.2,87816,74154,242975,2177934,823583,8954
"Massachusetts: Summary level: 040, state:25",1044226,881450,335260,44237,70628,30.5,7.4,5.0,3.7,2.4,2.0,2.3,6558724,752071,1005729,92468,94.3,13.6,17.0,14.2,5.5,8.3,20.2,7.6,13.7,89410,96007,312390,2559951,1005729,3563
"Michigan: Summary level: 040, state:26",1570641,1349279,367929,40304,51084,19.8,4.8,5.4,3.7,2.7,1.9,2.1,9698396,1529645,1533234,119756,96.7,14.3,17.3,15.3,5.6,8.7,22.1,7.9,14.9,172058,139470,580043,3858532,1533234,4884
"Minnesota: Summary level: 040, state:27",804958,717766,215948,42316,63488,26.6,6.1,4.8,3.4,2.5,1.9,2.1,5366594,546431,774084,53774,98.9,13.2,16.1,15.5,4.7,6.9,18.3,6.5,11.7,92883,83410,186638,2147262,774084,2310
"Mississippi: Summary level: 040, state:28",440961,338163,86545,31744,40593,20.5,6.3,5.0,3.7,2.6,1.7,1.6,2896579,637128,428426,53538,93.8,13.1,16.3,14.6,8.4,12.1,29.7,11.1,19.5,42157,36874,201103,1104371,428426,1490
"Missouri: Summary level: 040, state:29",950948,800855,206043,37837,50238,23.7,5.9,5.1,3.8,2.7,2.0,2.0,5901967,875495,913988,77771,96.2,13.9,17.3,15.9,6.5,8.8,23.3,7.7,14.3,113917,97355,287436,2374180,913999,4877
"Montana: Summary level: 040, state:30",178931,162980,51857,37896,49509,26.9,6.6,6.0,4.2,2.9,2.2,2.0,1007727,147287,174170,13293,101.0,16.4,18.2,16.9,5.5,6.8,20.1,5.8,11.0,24313,18972,37798,414804,174170,449
"Nebraska: Summary level: 040, state:31",278691,246798,63436,39112,54996,33.1,8.5,4.6,3.5,2.5,1.9,2.3,1842682,231321,266746,19667,98.8,13.1,16.3,16.4,6.1,7.1,20.2,6.3,12.0,30970,30524,64374,744159,266746,1108
"Nevada: Summary level: 040, state:32",422112,362728,105116,42181,52431,22.3,6.0,5.3,3.9,2.6,1.6,1.3,2850472,418243,417738,34943,100.3,13.8,15.4,14.2,7.7,8.7,23.2,7.3,13.8,58492,42957,136603,1042065,417738,9769
"New Hampshire: Summary level: 040, state:33",218357,195568,68031,47398,70303,29.2,7.2,5.7,4.0,2.8,1.8,2.1,1288060,106046,210350,12750,97.7,15.1,17.7,15.2,5.4,6.9,18.7,6.1,11.9,28977,24950,40201,517615,210350,800
"New Jersey: Summary level: 040, state:34",1342951,1104297,377408,47355,72222,28.8,7.4,4.9,3.5,2.4,1.9,2.2,8781575,946114,1303519,102343,95.5,13.1,16.8,11.7,5.7,8.0,21.7,8.3,15.0,97907,112033,301208,3187963,1303519,17287
"New Mexico: Summary level: 040, state:35",330594,271659,98986,38297,45382,23.2,5.5,5.4,4.0,2.7,1.9,1.9,2044431,417834,325515,36168,98.6,14.5,17.2,19.7,9.4,11.4,26.2,9.8,16.9,42377,33847,133347,761797,325540,3371
"New York: Summary level: 040, state:36",2962447,2345455,799119,40918,60850,25.8,6.8,4.9,3.5,2.6,1.8,2.2,19283776,2970032,2870378,320956,94.5,13.1,16.7,11.8,6.0,8.6,22.8,9.1,15.4,205359,219525,1108303,7233694,2870378,23389
"North Carolina: Summary level: 040, state:37",1515545,1229729,369037,37468,47830,21.6,5.8,5.3,3.7,2.6,1.8,1.7,9790073,1607835,1473471,135780,95.1,13.5,16.6,14.8,6.9,9.9,23.6,8.6,15.1,169990,127513,547385,3843745,1473471,7070
"North Dakota: Summary level: 040, state:38",107357,89330,21293,36971,60557,28.3,8.7,4.2,3.2,2.2,2.0,2.5,731354,80170,101473,9066,105.3,12.4,16.0,16.1,5.6,7.9,20.5,5.8,11.4,11419,9694,21614,313475,101473,437
"Ohio: Summary level: 040, state:39",1839554,1543403,371856,37720,51075,23.9,6.1,5.4,3.6,2.7,2.0,2.2,11295340,1674415,1770169,134380,95.9,14.1,17.5,14.4,6.1,8.1,21.7,7.9,14.5,204662,175991,660784,4606655,1770169,9229
"Oklahoma: Summary level: 040, state:40",576031,486443,130169,38319,48568,25.3,7.8,4.9,3.6,2.7,1.8,1.7,3795764,610828,557971,46827,98.4,13.2,16.2,19.0,8.2,9.3,26.7,8.0,14.7,74970,57339,191054,1465951,557971,3013
"Oregon: Summary level: 040, state:41",659778,593485,192828,42040,54148,20.9,4.9,5.9,3.9,2.7,1.8,2.0,3952077,607029,650591,47711,97.8,15.1,17.6,17.6,6.5,10.0,22.8,7.7,14.0,87676,68884,288816,1553205,650591,2471
"Pennsylvania: Summary level: 040, state:42",2181193,1830609,472595,38060,55702,25.1,6.5,5.4,3.9,2.9,2.2,2.5,12385716,1629995,2101626,163712,95.7,15.0,18.9,14.4,6.1,8.3,21.5,7.6,14.5,229344,221523,658030,4956037,2101626,9701
"Rhode Island: Summary level: 040, state:44",170532,136877,44642,38571,58073,28.0,6.0,5.2,3.8,2.5,2.0,2.6,1016343,141035,162821,16784,94.0,14.2,17.9,13.8,5.1,9.0,21.8,8.7,14.8,18711,16522,66173,407484,162821,673
"South Carolina: Summary level: 040, state:45",793954,640263,191847,38695,47238,21.5,5.8,5.9,4.1,2.7,1.8,1.7,4750144,790715,776587,72014,95.0,14.8,17.6,14.9,7.2,10.2,24.1,9.1,16.4,104243,72353,267132,1857768,776587,3537
"South Dakota: Summary level: 040, state:46",134513,115187,31140,37896,53017,31.9,8.9,4.9,3.6,2.6,2.2,2.4,829644,114071,128069,10634,101.1,14.2,17.2,16.2,4.9,7.4,18.9,6.2,10.8,15337,13150,36111,339437,128069,307
"Tennessee: Summary level: 040, state:47",1015780,796897,208234,36692,47275,22.7,6.4,5.4,3.8,2.6,1.8,1.7,6440381,1077900,988284,97266,95.0,13.9,16.8,17.1,7.9,10.7,25.4,9.5,17.3,118333,87950,405730,2530260,988284,4586
"Texas: Summary level: 040, state:48",3221507,2500584,805243,41170,55653,26.2,7.2,4.1,2.9,2.0,1.4,1.3,26846203,4255517,3135425,322342,98.4,10.5,13.0,16.3,8.0,9.8,25.3,9.2,16.0,338479,268192,1176485,9421412,3135425,59817
"Utah: Summary level: 040, state:49",307842,280046,91963,46444,62912,27.2,6.8,3.5,2.5,1.8,1.3,1.1,2947861,331854,304002,20786,101.1,9.5,11.1,17.7,6.2,7.9,21.1,6.7,13.2,29729,30904,70588,930980,304002,3850
"Vermont: Summary level: 040, state:50",110084,95929,40233,42213,56990,29.5,8.4,6.3,4.0,2.7,2.2,2.3,600659,61314,106423,7008,97.2,16.3,18.8,17.0,5.4,8.5,18.5,7.3,12.4,11239,10457,30145,254865,106423,19
"Virginia: Summary level: 040, state:51",1187444,968917,349736,47402,66262,27.5,6.8,5.0,3.5,2.4,1.7,1.7,8131328,909346,1162216,84393,96.9,12.7,15.6,13.4,5.9,8.2,20.6,7.6,14.2,146430,111432,285778,3106895,1162216,10925
"Washington: Summary level: 040, state:53",1036626,930073,330161,46144,64129,23.7,4.7,5.2,3.6,2.3,1.6,1.8,7036725,857801,1016089,75577,100.0,13.2,15.7,16.9,6.1,9.6,21.5,7.4,13.5,137074,104412,366175,2728573,1016089,7003
"West Virginia: Summary level: 040, state:54",336361,259461,52464,33604,42019,17.7,4.9,6.4,4.3,3.1,2.2,2.2,1793096,321583,327764,27957,97.1,16.6,19.8,20.5,9.6,11.6,28.5,10.6,18.3,38805,32801,123212,734536,327764,387
"Wisconsin: Summary level: 040, state:55",900763,786448,198724,38643,55638,23.4,5.9,5.2,3.5,2.7,1.9,2.2,5620223,677964,872718,61980,98.8,14.1,17.1,14.0,4.7,6.8,18.3,6.5,12.2,99944,90707,282870,2319538,872718,3019
"Wyoming: Summary level: 040, state:56",82547,74886,22866,41057,60214,27.7,8.9,4.9,3.5,2.3,1.7,1.7,572319,63425,80404,6425,101.4,13.3,14.9,19.8,7.2,7.5,20.0,6.2,11.4,11875,7848,10666,228937,80404,244
"Puerto Rico: Summary level: 040, state:72",626965,328453,91542,15718,18626,8.8,2.7,5.9,4.4,3.3,2.3,2.2,3443611,1586285,619093,253890,91.2,16.4,19.6,13.5,15.4,18.4,34.1,14.3,29.6,21574,28860,476272,1221851,619093,4477
