,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C03_014E,S1903_C03_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_033E,S0101_C03_030E,S0101_C05_030E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_013E,S2701_C04_013E
"Puerto Rico: Summary level: 040, state:72",679665,403756,120371,16953,20474,10.6,2.9,193754,172738,130418,95927,86828,3167190,1376809,674297,269364,90.4,295255,384410,13.8,15.6,17.7,32.9,14.6,27.4,19504,27681,505952,1170982,674297,6804
"Georgia: Summary level: 040, state:13",1523192,1286011,408083,47276,61980,24.0,6.2,521959,411763,277818,167072,144580,10332523,1373909,1492650,155317,94.9,662398,860794,13.4,6.6,9.0,22.7,7.2,14.2,145875,113224,431783,3852714,1492650,14431
"Idaho: Summary level: 040, state:16",288617,263520,80885,47372,60999,24.7,6.6,95066,79054,52430,33917,28150,1753946,195984,283870,19511,101.0,136800,151817,18.8,5.6,7.1,19.2,5.0,11.0,31317,29393,54700,655859,283870,1175
"Hawaii: Summary level: 040, state:15",269470,234011,85559,71099,83102,32.2,8.8,85187,68051,49696,28868,37668,1379078,128722,265592,23033,100.0,121737,147733,14.7,5.2,9.0,19.9,6.4,14.6,22579,22754,48397,465299,265592,1544
"Illinois: Summary level: 040, state:17",2045361,1776292,562900,49190,69187,26.7,7.1,668291,513724,368932,240394,254020,12373209,1420542,1981678,170042,96.3,896075,1149286,12.3,5.6,7.3,20.7,7.0,14.0,145554,142503,576552,4866006,1981678,16691
"Indiana: Summary level: 040, state:18",1084472,953985,235394,43592,57603,26.5,7.6,357331,280044,192073,127123,127901,6517430,775823,1047678,80303,97.3,478723,605749,14.1,6.0,7.7,21.8,7.0,12.9,99310,84194,220463,2597765,1047678,4904
"Iowa: Summary level: 040, state:19",553575,503661,130485,45150,61691,27.7,6.9,177535,134108,95428,69762,76742,3058938,341613,531505,39327,99.1,248183,305392,14.6,4.7,6.3,17.8,5.6,11.0,51429,46505,122030,1287221,531505,1967
"Kansas: Summary level: 040, state:20",477996,438484,143932,47329,62087,30.3,8.2,155439,119227,84450,55679,63201,2826818,323189,460024,33350,98.6,214284,263712,15.4,5.7,7.4,20.6,6.2,11.9,44269,43642,79562,1138329,460024,2725
"Kentucky: Summary level: 040, state:21",754559,614015,156737,40349,52295,21.7,6.8,252427,202505,137511,85477,76639,4326675,703627,731514,85199,96.9,334341,420218,17.3,7.9,10.2,25.6,8.5,15.6,72487,52365,207660,1748732,731514,2116
"Louisiana: Summary level: 040, state:22",742194,615017,168430,38662,51073,24.9,9.1,246837,199884,136928,83185,75360,4515876,857894,722740,95736,95.3,326225,415969,15.6,8.5,9.8,25.3,8.7,15.2,63073,50834,250912,1741076,722740,5012
"Maine: Summary level: 040, state:23",285978,256180,91402,43117,58924,28.3,7.7,92423,77133,50300,31469,34653,1304100,141803,277584,23542,95.4,129992,155986,16.5,3.9,8.0,18.7,6.2,11.6,29413,24763,70356,573618,277584,280
"Maryland: Summary level: 040, state:24",959887,830428,342229,63552,86738,31.7,8.3,317396,247137,166203,115604,113547,5898360,532241,937113,73398,93.9,414847,545040,10.3,5.4,7.6,20.3,7.2,13.3,79016,72048,217528,2226767,937113,9184
"Massachusetts: Summary level: 040, state:25",1172293,1019120,415121,55593,85843,32.7,8.4,372905,303252,204299,131903,159934,6656430,625763,1136702,103160,94.3,509671,662622,12.7,4.6,7.7,19.0,7.5,13.3,68833,91351,296538,2650680,1136702,4786
"Michigan: Summary level: 040, state:26",1766409,1573916,450271,46380,59584,22.1,5.9,588009,453804,310403,200500,213693,9772151,1269062,1729983,144601,96.9,792315,974094,13.9,5.3,8.1,20.5,7.2,13.4,152120,135650,463622,3969880,1729983,5167
"Minnesota: Summary level: 040, state:27",921491,842419,274476,50886,74593,27.6,7.0,304894,228472,163959,112575,111591,5515416,494683,891922,66431,98.9,419762,501729,13.5,4.2,6.2,16.5,5.4,10.9,85555,80375,163554,2222568,891922,2658
"Connecticut: Summary level: 040, state:09",629032,545945,215381,58288,78833,32.5,9.5,197996,154563,111273,76677,88523,3460446,347149,609097,44320,95.7,275627,353405,11.0,4.5,7.8,18.9,7.5,13.5,39659,50190,153333,1377166,609097,3769
"Florida: Summary level: 040, state:12",4498198,3868797,1314017,48866,59227,23.0,6.3,1311397,1151686,887311,586739,561065,21048884,2664772,4427800,474898,95.6,2027375,2470823,12.8,6.1,8.4,20.6,7.1,12.7,366754,399575,935759,7905832,4427800,49986
"Alabama: Summary level: 040, state:01",854312,715529,197953,41644,51734,21.3,6.3,274325,231232,156756,107315,84684,4781688,739108,834839,87821,93.5,373043,481269,15.4,7.4,9.9,25.6,9.2,16.3,85986,62828,247490,1897576,834839,3755
"Alaska: Summary level: 040, state:02",90588,83758,27861,59826,75463,29.9,7.1,35953,25705,14030,8235,6665,713725,71938,88935,6160,108.4,44793,45795,18.1,6.1,8.5,19.7,6.4,11.1,12235,7463,25988,252199,88935,745
"Arizona: Summary level: 040, state:04",1307241,1154497,405406,50260,62055,22.6,5.9,399593,352238,257211,167394,130805,7116266,958442,1294934,116689,99.0,601487,705754,14.9,6.0,7.5,20.2,6.1,12.1,126464,129734,251413,2670441,1294934,10225
"Arkansas: Summary level: 040, state:05",524237,436681,107327,37863,48952,22.4,5.9,164385,139037,99719,62524,58572,2929117,474739,507648,53496,95.6,232005,292232,17.6,7.9,9.8,27.0,9.2,15.7,50482,43237,127488,1163647,507648,2776
"California: Summary level: 040, state:06",5834998,4730711,1883186,58371,80440,26.4,7.0,1868922,1522934,1022127,703715,717300,38733295,4552837,5738631,599877,98.8,2599843,3235155,13.0,6.0,9.2,21.6,9.3,16.3,376185,392728,1107229,13157873,5738631,56138
"Colorado: Summary level: 040, state:08",845378,776130,331298,56527,77127,28.4,8.2,294456,230513,143127,88708,88574,5637904,526979,829339,59512,101.8,386512,458866,14.1,5.4,6.7,17.2,5.5,11.1,85347,71606,153588,2235103,829339,4967
"Delaware: Summary level: 040, state:10",189638,170145,56389,58054,70176,22.5,9.0,59838,53009,35476,22515,18800,944955,106383,185743,13532,93.4,85168,104470,11.6,4.2,8.7,20.1,6.3,12.6,20202,17332,37915,376239,185743,592
"District of Columbia: Summary level: 040, state:11",87537,75311,39846,63927,92266,32.5,11.8,30878,19709,14983,10656,11311,673041,90534,85100,11280,90.0,36051,51486,8.6,5.8,6.8,25.1,7.8,14.2,4367,6370,33038,291570,85100,682
