,Unnamed: 0,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,fips
35,"Ohio: Summary level: 040, state:39",9522264,1419214,22761,225438,3223,103388,297875,11594163,419475,210416,71589,473939,277875,154108,38046.0,16866.0,6107.0,50371.0,29910.0,13471.0,854.0,169.0,8.0,745.0,367.0,184.0,5583.0,2299.0,589.0,5985.0,2860.0,1006.0,,,,,,,915.0,408.0,29.0,802.0,463.0,179.0,2910,1014,454,3962,1973,855,5702,2864,598,6603,3582,946,Ohio,39
36,"Oklahoma: Summary level: 040, state:40",2827481,287254,289732,76654,4995,93987,297948,3878051,127588,67211,19208,143852,84142,39472,7216.0,2191.0,1376.0,8466.0,4024.0,1662.0,8117.0,2766.0,858.0,9311.0,3011.0,1433.0,1665.0,698.0,127.0,2430.0,1161.0,257.0,0.0,0.0,0.0,62.0,74.0,0.0,1257.0,440.0,68.0,874.0,491.0,47.0,5186,2070,702,6905,3897,1253,3799,1455,290,4380,1804,574,Oklahoma,40
37,"Oregon: Summary level: 040, state:41",3358250,71042,46761,159891,14113,141502,178680,3970239,166316,73174,29707,183045,89817,51779,2437.0,188.0,115.0,1927.0,1065.0,407.0,1264.0,568.0,39.0,1779.0,486.0,315.0,4080.0,2133.0,448.0,4837.0,2741.0,1111.0,194.0,0.0,0.0,636.0,84.0,0.0,1672.0,541.0,84.0,1352.0,500.0,94.0,3273,846,579,3205,890,498,5234,2054,591,8191,1958,786,Oregon,41
38,"Pennsylvania: Summary level: 040, state:42",10408847,1416865,27367,399285,4197,241491,289157,12787209,483891,253901,96653,545599,342104,204755,37455.0,15318.0,5687.0,49133.0,27940.0,13593.0,535.0,234.0,37.0,678.0,277.0,411.0,9970.0,4511.0,421.0,12144.0,5020.0,1666.0,,,,,,,2525.0,1095.0,238.0,3355.0,1614.0,610.0,3674,1507,261,4755,1742,697,11874,4915,1268,14611,5736,2641,Pennsylvania,42
39,"Rhode Island: Summary level: 040, state:44",858236,70600,5579,35676,385,57362,27335,1055173,38694,18085,8465,43940,25853,18555,1213.0,502.0,337.0,1344.0,1145.0,212.0,,,,,,,488.0,413.0,227.0,1287.0,388.0,220.0,,,,,,,641.0,408.0,49.0,827.0,703.0,117.0,618,339,189,460,245,392,2039,858,242,2556,1240,339,Rhode Island,44
40,"South Carolina: Summary level: 040, state:45",3254145,1320373,14155,68976,2959,69517,102357,4832482,172481,74917,22207,189376,92537,43569,42086.0,14277.0,4203.0,54735.0,25396.0,10547.0,309.0,281.0,102.0,621.0,169.0,23.0,2059.0,671.0,565.0,3078.0,738.0,0.0,,,,,,,437.0,392.0,0.0,344.0,316.0,73.0,1452,703,103,1708,561,248,2684,1116,322,3282,1133,429,South Carolina,45
41,"South Dakota: Summary level: 040, state:46",724768,14830,71811,11017,442,6774,23533,853175,32381,17029,6461,32926,20800,13724,42.0,0.0,0.0,85.0,0.0,0.0,1553.0,403.0,140.0,1086.0,720.0,491.0,26.0,107.0,0.0,181.0,65.0,0.0,,,,,,,,,,,,,237,165,0,285,233,72,285,127,0,618,37,4,South Dakota,46
42,"Tennessee: Summary level: 040, state:47",5084404,1105318,17139,102508,3409,99109,137465,6549352,241711,112011,29847,268444,146301,64801,27615.0,9627.0,2587.0,36976.0,17231.0,7909.0,566.0,311.0,42.0,882.0,412.0,0.0,2336.0,1118.0,209.0,4270.0,1167.0,500.0,,,,,,,769.0,90.0,0.0,919.0,21.0,0.0,2144,1067,228,2675,1695,245,2841,1538,105,4342,721,133,Tennessee,47
43,"Texas: Summary level: 040, state:48",20265860,3234898,121708,1161951,20055,1488773,663713,26956958,716188,333341,109150,797148,443523,194305,74934.0,29913.0,7210.0,98049.0,45751.0,18870.0,2900.0,1634.0,279.0,5262.0,1907.0,431.0,31230.0,11781.0,2541.0,34323.0,13642.0,4420.0,419.0,29.0,0.0,663.0,250.0,0.0,22944.0,9716.0,2730.0,27797.0,14200.0,4444.0,8718,3944,728,13077,6099,1523,186485,78727,24738,224607,114383,42947,Texas,48
44,"Utah: Summary level: 040, state:49",2568018,33520,32874,66060,25425,138510,78495,2942902,77769,37613,13817,85080,48054,17516,535.0,51.0,28.0,393.0,81.0,350.0,424.0,451.0,30.0,645.0,564.0,123.0,1158.0,499.0,248.0,1671.0,1038.0,293.0,595.0,61.0,0.0,579.0,362.0,0.0,914.0,114.0,184.0,1519.0,207.0,127.0,868,107,53,368,490,0,4475,1287,541,5118,1979,950,Utah,49
45,"Vermont: Summary level: 040, state:50",591853,6164,2513,9933,365,2872,12862,626562,29798,12395,5073,31150,16995,8145,67.0,0.0,0.0,0.0,97.0,0.0,,,,,,,402.0,12.0,0.0,183.0,41.0,0.0,,,,,,,,,,,,,407,669,60,194,382,0,320,215,0,216,41,107,Vermont,50
46,"Virginia: Summary level: 040, state:51",5739681,1601449,21233,510871,4553,174873,273629,8326289,253521,113271,38704,280055,147945,75855,43856.0,18846.0,5840.0,59853.0,29424.0,15118.0,749.0,348.0,30.0,660.0,431.0,116.0,13405.0,5920.0,1760.0,17486.0,6645.0,2416.0,,,,,,,1473.0,365.0,347.0,1683.0,385.0,385.0,2892,1047,474,3261,1659,589,7331,2737,865,10810,4477,2035,Virginia,51
47,"Washington: Summary level: 040, state:53",5484997,251336,95613,554101,45359,247151,382973,7061530,250650,106556,44484,268556,133287,75540,7106.0,2440.0,695.0,6221.0,2939.0,837.0,2015.0,1203.0,58.0,3660.0,1282.0,478.0,15539.0,6980.0,2404.0,22124.0,10610.0,4563.0,664.0,133.0,77.0,861.0,501.0,56.0,2591.0,561.0,91.0,3630.0,581.0,206.0,4163,1514,185,4425,1631,419,9507,3078,786,11576,3975,1342,Washington,53
48,"West Virginia: Summary level: 040, state:54",1731464,68279,3716,11642,300,4172,30753,1850326,88229,41253,12730,95111,54453,25129,2024.0,1093.0,275.0,2565.0,2299.0,519.0,,,,,,,145.0,103.0,44.0,551.0,0.0,64.0,,,,,,,,,,,,,712,170,0,552,277,52,320,106,18,445,494,211,West Virginia,54
49,"Wisconsin: Summary level: 040, state:55",4966282,363916,50703,150258,1384,105647,119374,5757564,220973,110700,41410,236281,140860,82491,7160.0,2543.0,737.0,8565.0,3756.0,1991.0,890.0,298.0,138.0,1758.0,457.0,90.0,2081.0,948.0,407.0,2415.0,1060.0,1025.0,,,,,,,574.0,116.0,239.0,816.0,295.0,295.0,1237,291,131,1298,736,363,4267,1448,780,4717,1776,1344,Wisconsin,55
50,"Wyoming: Summary level: 040, state:56",531680,6320,15073,5541,837,11808,12894,584153,23201,10006,2874,22908,12449,5086,,,,,,,406.0,21.0,0.0,438.0,92.0,0.0,,,,,,,,,,,,,257.0,43.0,0.0,386.0,46.0,0.0,384,0,31,215,262,25,634,271,47,1250,167,216,Wyoming,56
51,"Puerto Rico: Summary level: 040, state:72",2520447,299398,10710,8810,495,481724,226813,3548397,117274,62755,19958,144915,84322,34684,15818.0,5873.0,1891.0,17772.0,8753.0,3975.0,390.0,563.0,0.0,428.0,238.0,95.0,426.0,47.0,0.0,157.0,173.0,0.0,,,,,,,18680.0,7947.0,2742.0,22089.0,12164.0,3668.0,7438,4632,1233,8985,4747,2122,158116,80742,25606,191911,109760,44304,Puerto Rico,72
