,Unnamed: 0,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_014E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E,state,fips
18,"Louisiana: Summary level: 040, state:22",631170,77.4,20.3,32870,44555,23.7,6.8,4.6,3.4,2.4,1.6,1.6,4518525,896524,610302,78408,95.6,12.1,15.0,14.9,8.1,11.0,27.2,10.7,17.9,24.9,20.4,269670,1718194,610302,4362,Louisiana,22
19,"Maine: Summary level: 040, state:23",242564,85.4,26.4,35498,49462,26.4,5.3,6.2,4.3,3.0,2.4,2.4,1294009,182791,235777,20914,94.9,17.0,19.5,15.6,5.5,7.1,19.8,7.0,12.1,28.4,22.9,92714,549841,235777,548,Maine,23
20,"Maryland: Summary level: 040, state:24",822171,85.0,31.9,52458,73971,30.2,6.8,4.7,3.3,2.3,1.6,1.8,5835377,589818,798646,59123,94.0,12.2,15.2,11.9,5.5,8.1,20.8,7.3,14.6,21.1,20.6,250157,2165438,798646,9738,Maryland,24
21,"Massachusetts: Summary level: 040, state:25",1015577,83.0,30.0,41489,69160,30.2,6.7,4.8,3.6,2.5,2.0,2.2,6509672,757235,977029,90432,94.1,13.3,16.7,14.2,5.9,8.6,20.0,8.1,14.0,26.8,30.0,330851,2549336,977029,4194,Massachusetts,25
22,"Michigan: Summary level: 040, state:26",1531067,84.6,21.8,38373,49847,18.9,4.9,5.0,3.8,2.6,2.0,2.1,9686787,1568844,1491415,121503,96.4,13.8,17.0,15.1,6.2,8.8,22.7,8.0,15.1,27.7,24.2,619562,3834574,1491415,5141,Michigan,26
23,"Minnesota: Summary level: 040, state:27",777833,87.8,26.2,40041,61481,25.8,5.8,4.6,3.3,2.4,1.8,2.1,5332552,611354,747408,55856,98.9,12.8,15.7,14.8,5.0,7.2,18.2,6.6,12.1,27.1,27.0,196307,2129195,747408,2863,Minnesota,27
24,"Mississippi: Summary level: 040, state:28",427313,74.5,19.1,30254,39680,19.1,5.9,4.7,3.6,2.6,1.8,1.7,2895470,623113,415142,54764,94.9,12.5,15.9,17.2,9.6,13.2,30.8,11.2,19.6,24.9,21.4,198057,1095823,415142,1923,Mississippi,28
25,"Missouri: Summary level: 040, state:29",931890,83.5,20.3,36059,48363,23.5,5.7,4.9,3.8,2.7,2.0,2.0,5878658,908628,893606,80833,96.0,13.7,16.9,15.7,6.8,8.4,22.9,7.0,13.8,25.9,22.1,300928,2354809,893606,3161,Missouri,29
26,"Montana: Summary level: 040, state:30",170153,89.3,26.1,35710,46328,27.6,7.1,5.6,4.1,2.9,1.9,2.0,997952,153954,165514,13713,100.6,15.7,17.5,16.8,5.3,7.0,19.4,6.0,10.6,25.9,22.7,45809,410962,165514,732,Montana,30
27,"Nebraska: Summary level: 040, state:31",270677,87.9,20.7,37174,52686,32.4,8.8,4.4,3.3,2.6,2.0,2.1,1828121,227310,259291,20483,99.0,12.7,16.0,17.2,6.0,7.3,19.5,6.0,12.0,25.0,24.2,69443,740765,259291,530,Nebraska,31
28,"Nevada: Summary level: 040, state:32",400514,85.2,23.6,40482,51450,19.3,6.8,5.0,3.8,2.4,1.6,1.3,2800768,426730,396015,32681,101.0,13.3,15.0,15.6,7.1,9.1,24.3,7.4,13.8,27.8,19.0,125987,1021519,396015,7039,Nevada,32
29,"New Hampshire: Summary level: 040, state:33",209447,86.1,30.4,43069,66532,30.1,6.0,5.5,3.7,2.5,1.9,2.1,1287504,117983,201544,10319,97.4,14.5,17.1,15.2,5.2,6.8,19.7,6.2,11.4,27.2,25.0,41237,519756,201544,828,New Hampshire,33
30,"New Jersey: Summary level: 040, state:34",1312125,81.9,27.5,46170,71919,29.0,6.4,4.7,3.5,2.4,1.9,2.2,8762159,972903,1272109,109239,95.4,12.8,16.5,12.1,5.9,8.2,22.1,8.0,14.9,28.6,32.6,294957,3194844,1272109,16666,New Jersey,34
31,"New Mexico: Summary level: 040, state:35",318086,80.5,28.8,36740,44803,22.5,5.9,5.2,3.7,2.8,2.0,1.6,2045525,436153,313163,41326,98.1,14.0,16.5,19.4,8.7,11.8,25.1,8.9,16.7,26.8,21.7,118280,760916,313163,5430,New Mexico,35
32,"New York: Summary level: 040, state:36",2895680,78.3,25.7,39278,58878,25.5,6.5,4.7,3.4,2.5,1.9,2.2,19228524,3062938,2796800,327362,94.1,12.8,16.4,12.6,6.7,9.0,23.4,9.3,16.3,27.0,29.5,1135978,7282398,2796800,27120,New York,36
33,"North Carolina: Summary level: 040, state:37",1461149,81.0,23.2,36252,46556,21.2,5.7,5.1,3.6,2.5,1.8,1.7,9691794,1668686,1420275,137111,94.9,13.1,16.2,15.3,7.0,9.3,24.0,9.0,15.8,24.8,19.3,545796,3790620,1420275,8819,North Carolina,37
34,"North Dakota: Summary level: 040, state:38",104679,83.2,20.3,37196,59029,31.5,8.8,4.3,3.1,2.5,2.0,2.3,712548,82264,98892,8593,103.6,12.6,15.8,16.2,4.6,6.6,19.4,4.5,10.3,22.8,19.9,25033,305431,98892,331,North Dakota,38
35,"Ohio: Summary level: 040, state:39",1796868,83.7,19.7,36574,49308,23.5,5.9,5.0,3.7,2.8,1.9,2.1,11276403,1785780,1728191,139765,95.9,13.7,17.2,14.4,6.4,8.2,22.5,8.0,14.4,26.2,23.8,686590,4593172,1728191,9793,Ohio,39
36,"Oklahoma: Summary level: 040, state:40",561568,84.2,21.3,36820,47529,25.2,7.9,4.8,3.5,2.6,1.8,1.7,3759517,623840,542799,46199,98.1,13.0,16.0,19.8,8.5,9.9,28.0,9.2,15.7,25.0,20.5,201345,1459759,542799,2875,Oklahoma,40
37,"Oregon: Summary level: 040, state:41",634226,88.4,28.3,39337,51075,20.5,4.7,5.5,4.0,2.6,1.8,2.1,3893475,644450,624595,55171,97.9,14.6,17.3,18.6,6.6,10.1,22.8,8.2,14.7,29.9,22.9,290484,1535511,624595,2754,Oregon,41
38,"Pennsylvania: Summary level: 040, state:42",2134099,83.2,20.2,36415,53234,25.4,6.1,5.2,3.8,2.9,2.3,2.5,12371337,1682212,2055882,165774,95.7,14.7,18.6,14.5,5.7,8.1,21.4,7.2,14.4,27.2,28.5,644930,4945972,2055882,9599,Pennsylvania,42
39,"Rhode Island: Summary level: 040, state:44",167180,77.0,25.4,38391,54891,27.1,5.5,5.0,3.5,2.4,2.2,2.7,1015655,145596,159963,15510,94.1,13.9,17.7,14.7,6.7,7.9,23.5,7.3,15.3,26.0,29.7,71530,409654,159963,897,Rhode Island,44
40,"South Carolina: Summary level: 040, state:45",761583,80.7,23.9,36694,45238,20.7,5.5,5.7,4.0,2.6,1.8,1.7,4691589,843860,744327,68902,94.8,14.3,17.1,15.2,7.3,10.2,24.1,8.8,15.5,26.3,18.8,261770,1826914,744327,3409,South Carolina,45
41,"South Dakota: Summary level: 040, state:46",129354,84.6,20.5,35240,50979,34.0,8.6,5.1,3.0,2.5,2.1,2.4,824373,116843,122655,13012,100.4,13.7,16.6,17.1,5.9,8.2,21.7,6.2,12.1,23.9,22.9,36621,334475,122655,593,South Dakota,46
42,"Tennessee: Summary level: 040, state:47",986813,77.0,20.0,34224,44361,22.4,5.9,5.2,3.8,2.6,1.9,1.6,6386663,1171307,958080,96885,95.0,13.6,16.5,16.2,7.9,10.4,25.9,9.3,17.0,25.9,20.1,441196,2509665,958080,3831,Tennessee,47
43,"Texas: Summary level: 040, state:48",3096013,76.8,24.3,39202,53035,26.1,6.8,3.9,2.9,2.0,1.4,1.3,26340247,4523708,3012117,329396,98.6,10.2,12.7,16.2,8.3,10.1,25.8,9.5,16.9,22.8,18.3,1219570,9277197,3012117,58938,Texas,48
44,"Utah: Summary level: 040, state:49",294979,91.1,30.4,45738,60922,25.5,6.8,3.4,2.5,1.9,1.2,1.1,2897762,339900,291177,19387,101.1,9.2,10.9,17.2,6.3,7.8,20.1,6.6,12.5,23.9,24.3,74801,918370,291177,2008,Utah,49
45,"Vermont: Summary level: 040, state:50",106655,86.9,31.8,36346,54166,33.2,8.7,5.7,4.3,2.6,2.3,2.1,601819,73149,103131,7302,97.0,15.9,18.1,16.4,6.0,8.6,21.2,7.1,13.6,26.3,26.3,36791,257229,103131,133,Vermont,50
46,"Virginia: Summary level: 040, state:51",1146846,81.1,28.9,45966,64902,26.3,6.9,4.7,3.5,2.3,1.6,1.7,8080300,953395,1120498,87812,96.7,12.3,15.2,13.5,5.9,8.1,21.9,7.6,14.4,21.0,16.2,304111,3083820,1120498,12315,Virginia,51
47,"Washington: Summary level: 040, state:53",992516,88.7,30.4,44104,61366,23.7,5.3,5.0,3.4,2.2,1.6,1.8,6927889,913619,971314,81927,99.9,12.8,15.4,17.3,6.4,10.2,22.4,8.3,14.4,24.3,19.8,377963,2679601,971314,7192,Washington,53
48,"West Virginia: Summary level: 040, state:54",329055,75.5,13.7,32219,41059,19.0,5.4,6.2,4.1,3.2,2.2,2.1,1792949,327764,319933,29809,97.8,16.1,19.4,21.3,10.2,11.1,28.4,9.8,17.9,28.1,21.7,120486,735375,319933,224,West Virginia,54
49,"Wisconsin: Summary level: 040, state:55",875720,86.9,22.0,36606,52622,24.0,6.0,4.9,3.5,2.6,2.0,2.2,5603486,738270,846461,60607,98.6,13.7,16.7,14.4,4.9,6.6,18.9,6.4,12.2,27.0,25.3,302988,2307685,846461,2850,Wisconsin,55
50,"Wyoming: Summary level: 040, state:56",80332,90.1,26.0,40773,57055,31.5,5.4,5.2,3.2,2.1,1.9,1.4,570149,63774,78040,4828,103.6,12.6,14.9,16.4,6.4,8.1,19.4,6.1,10.3,25.8,17.6,15496,232594,78040,630,Wyoming,56
51,"Puerto Rico: Summary level: 040, state:72",617011,51.7,14.5,15915,18928,8.7,2.7,5.6,4.4,3.2,2.2,2.0,3515261,1624453,610385,246743,92.4,15.7,18.9,15.1,16.4,18.9,34.9,14.0,29.5,27.2,30.2,477030,1233490,610385,4076,Puerto Rico,72
