,Unnamed: 0,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C03_014E,S1903_C03_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_033E,S0101_C03_030E,S0101_C05_030E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_013E,S2701_C04_013E,state,fips
38,"Pennsylvania: Summary level: 040, state:42",2276543,1954783,547829,40083,59195,25.7,6.9,738330,540521,392826,274580,330286,12398112,1548720,2197058,185855,96.0,991667,1284876,14.2,5.5,8.2,21.4,7.4,14.4,215047,209711,646413,5008751,2197058,9709,Pennsylvania,42
39,"Rhode Island: Summary level: 040, state:44",176572,144795,50127,39893,63870,30.1,7.8,59463,41622,27998,24130,23359,1018556,118367,170058,15281,93.9,76056,100516,13.3,4.8,8.7,18.9,6.5,13.1,14772,15142,63109,408748,170058,534,Rhode Island,44
40,"South Carolina: Summary level: 040, state:45",865817,724506,236140,41256,50570,21.5,6.7,301278,236364,151400,93394,83381,4882720,751907,848343,77847,94.2,385573,480244,13.9,6.9,9.1,22.1,7.8,14.5,99224,72766,233897,1905100,848343,3244,South Carolina,45
41,"South Dakota: Summary level: 040, state:46",141886,125550,36049,40239,56521,34.0,7.7,47375,34270,23052,17709,19480,838991,109099,135748,10854,101.7,65349,76537,15.6,5.0,5.9,16.4,4.8,10.1,17186,13772,30563,344260,135748,475,South Dakota,46
42,"Tennessee: Summary level: 040, state:47",1070400,880002,245230,39773,51340,23.0,6.5,363246,279404,193477,121240,113033,6555389,980284,1041259,95307,95.0,471577,598823,16.0,7.7,10.4,25.4,9.2,16.2,120177,90435,348689,2588655,1041259,3874,Tennessee,47
43,"Texas: Summary level: 040, state:48",3465492,2753752,935759,42937,59206,26.6,7.2,1188268,902080,597625,403104,374415,27676343,4076905,3369711,363865,98.7,1545061,1920431,15.6,7.9,9.6,24.4,8.6,15.4,339178,262975,1154985,9623874,3369711,62321,Texas,48
44,"Utah: Summary level: 040, state:49",335195,308272,107363,51687,68358,26.9,7.0,116073,85794,57647,38553,37128,3052633,296557,330135,21290,101.6,155251,179944,16.6,6.1,8.0,19.0,6.5,12.9,34103,30996,66759,975448,330135,3126,Utah,49
45,"Vermont: Summary level: 040, state:50",117150,105505,43581,42932,57513,32.7,9.5,39715,31246,19805,13089,13295,599862,67841,113727,8121,97.5,53742,63408,14.9,4.6,7.5,17.3,5.5,11.5,11767,8922,29506,256629,113727,443,Vermont,50
46,"Virginia: Summary level: 040, state:51",1271604,1071459,411531,52594,71535,27.7,7.3,443619,318660,219529,143449,146347,8221024,874483,1243963,88227,96.7,565285,706319,13.0,5.9,7.6,20.2,7.0,13.0,147237,110376,252049,3120880,1243963,11663,Virginia,51
47,"Washington: Summary level: 040, state:53",1117759,1009399,363999,49257,70979,23.1,5.7,393043,290895,181954,124238,127629,7273713,802159,1097985,88239,99.8,508652,609107,16.5,6.0,9.3,21.2,7.8,13.5,136648,103126,348224,2840377,1097985,7572,Washington,53
48,"West Virginia: Summary level: 040, state:54",350572,282530,59775,33901,43469,18.8,5.9,121254,86330,64363,40293,38332,1762467,336301,341910,34792,97.7,158270,192302,20.2,9.2,10.7,27.9,9.3,16.6,39090,29943,120054,715308,341910,531,West Virginia,54
49,"Wisconsin: Summary level: 040, state:55",956184,853403,237589,39815,59305,23.5,6.2,323943,229783,159844,116201,126413,5645194,639564,928097,72473,98.8,432708,523476,13.5,4.5,6.8,18.6,6.9,11.6,97141,84600,248107,2350293,928097,3565,Wisconsin,55
50,"Wyoming: Summary level: 040, state:56",90437,83549,24730,42520,60434,28.7,7.4,32431,22801,15620,9090,10495,565242,64054,88156,7431,104.3,43423,47014,21.0,5.6,8.3,20.9,5.6,11.4,11308,8803,14240,225796,88156,196,Wyoming,56
51,"Puerto Rico: Summary level: 040, state:72",658755,357968,104472,16563,19343,9.0,2.9,192654,176220,129338,85815,74728,3306715,1468798,653276,254375,91.2,284891,373864,14.6,16.3,18.6,33.4,16.7,28.9,19187,24958,451535,1191305,653276,4941,Puerto Rico,72
