,Unnamed: 0,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C02_015E,S1903_C02_001E,S2301_C03_007E,S2301_C03_008E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_005E,S1701_C02_005E,S0101_C01_031E,S0101_C02_028E,S0101_C03_028E,S1810_C03_019E,S1810_C03_020E,S1810_C03_021E,S1810_C03_022E,S1810_C03_023E,S1810_C03_024E,S2101_C02_012E,S2101_C02_013E,S2201_C02_001E,S2201_C01_001E,S2701_C01_004E,S2701_C02_004E,state,fips
10,"Georgia: Summary level: 040, state:13",1033898,74.1,19.9,32183,46430,20.7,4.9,3.7,2.6,1.8,1.3,1.2,9446906,1688932,1003528,106984,95.4,9.2,12.0,14.7,8.2,11.1,27.2,9.7,18.1,17.9,14.9,469338,3482420,1003528,11531,Georgia,13
11,"Hawaii: Summary level: 040, state:15",198126,79.7,23.7,51293,63030,30.0,6.4,4.4,3.1,2.6,2.1,2.3,1326373,142185,193835,13201,100.7,12.8,16.2,15.2,5.2,9.9,19.9,7.3,15.7,19.3,19.6,40594,445812,193835,3057,Hawaii,15
12,"Idaho: Summary level: 040, state:16",196841,84.1,19.7,33725,43490,20.6,5.3,3.9,3.1,2.1,1.7,1.7,1541860,242272,193027,15216,100.5,11.5,13.5,19.3,6.8,9.5,22.1,7.6,14.3,21.4,21.8,71990,576709,193027,325,Idaho,16
13,"Illinois: Summary level: 040, state:17",1614822,78.9,20.1,34673,52972,23.3,5.2,3.8,2.9,2.2,1.8,1.9,12543457,1731711,1549783,129888,96.1,10.8,14.3,13.6,6.3,8.0,23.3,8.3,15.8,19.4,25.0,523580,4752857,1549783,20140,Illinois,17
14,"Indiana: Summary level: 040, state:18",842991,79.2,14.7,32172,44613,21.9,6.0,3.9,3.1,2.4,1.9,1.7,6294417,962775,806784,54788,97.1,11.2,14.7,15.8,6.2,8.7,23.9,7.9,14.6,19.4,21.8,286289,2470905,806784,3702,Indiana,18
15,"Iowa: Summary level: 040, state:19",452823,83.8,15.2,32487,47961,26.7,6.6,4.1,3.3,2.7,2.3,2.5,2950251,370507,427908,28489,97.5,12.8,16.8,14.4,5.1,6.6,19.5,5.9,12.0,20.1,25.2,132295,1223439,428307,1237,Iowa,19
16,"Kansas: Summary level: 040, state:20",379035,84.0,20.7,34653,48257,28.2,7.3,3.8,2.9,2.3,2.0,2.1,2775355,377530,360497,27923,98.3,11.5,14.9,16.1,6.6,9.4,24.9,7.8,13.7,18.7,23.1,96281,1101658,360497,1531,Kansas,20
17,"Kentucky: Summary level: 040, state:21",579521,67.3,13.7,27920,40062,18.8,5.1,4.2,3.3,2.4,1.8,1.6,4215643,800226,556359,62524,97.0,11.6,15.0,17.0,8.3,11.1,28.2,10.2,19.2,18.4,19.6,280171,1684348,556359,1393,Kentucky,21
18,"Louisiana: Summary level: 040, state:22",559589,72.3,17.2,29788,42505,23.4,6.2,3.9,3.0,2.2,1.7,1.5,4413890,825144,538561,61802,96.1,10.7,13.9,16.6,9.3,12.1,28.7,10.8,19.4,18.5,20.3,258527,1689822,538561,3554,Louisiana,22
19,"Maine: Summary level: 040, state:23",210842,79.6,21.2,30644,45815,23.7,5.5,4.9,3.6,2.9,2.4,2.1,1293012,167242,203460,19248,95.6,14.3,17.4,17.8,6.1,9.8,21.5,6.7,14.3,21.3,22.1,88303,545417,203460,222,Maine,23
20,"Maryland: Summary level: 040, state:24",710252,79.5,28.2,44712,68854,29.3,6.6,3.9,2.8,2.2,1.7,1.7,5643821,557140,687049,52908,93.7,10.7,13.7,12.5,6.0,8.4,22.0,7.8,15.5,17.4,19.6,178730,2127439,687049,10611,Maryland,24
21,"Massachusetts: Summary level: 040, state:25",906116,79.7,25.8,35683,62072,28.4,5.9,4.0,3.0,2.5,2.1,2.2,6333611,725143,863788,75304,93.6,11.9,15.6,13.9,6.0,8.2,20.5,7.7,14.8,22.4,28.3,288633,2520419,863788,2455,Massachusetts,25
22,"Michigan: Summary level: 040, state:26",1365505,79.8,18.3,33381,45413,17.7,3.8,4.2,3.1,2.5,2.0,1.9,9656449,1618257,1325714,106610,96.4,12.2,15.4,15.7,6.5,9.7,23.6,8.5,16.6,20.2,24.2,641615,3806621,1325714,3994,Michigan,26
23,"Minnesota: Summary level: 040, state:27",686694,83.7,21.4,34397,55459,24.4,5.3,3.9,2.9,2.4,1.8,2.0,5189200,599516,656770,54448,98.5,11.4,14.5,15.0,4.8,6.6,18.5,6.9,12.2,20.2,24.5,158090,2091548,656770,2148,Minnesota,27
24,"Mississippi: Summary level: 040, state:28",382756,69.7,16.6,27529,36851,20.1,5.0,4.3,3.0,2.4,1.7,1.5,2875594,643883,369804,44105,94.3,11.1,14.5,16.0,10.3,13.9,32.9,11.7,21.1,19.1,20.0,177433,1079999,369804,1345,Mississippi,28
25,"Missouri: Summary level: 040, state:29",842885,77.6,16.6,31324,44301,22.1,4.7,4.2,3.3,2.5,2.0,2.0,5817852,888570,803623,73197,95.7,12.4,15.7,16.2,7.0,9.5,25.0,8.4,16.2,19.1,22.3,313472,2350628,803623,3327,Missouri,29
26,"Montana: Summary level: 040, state:30",147494,85.0,20.8,32423,42666,26.4,6.3,4.9,3.3,2.6,2.1,2.0,964509,140969,142656,10043,101.5,13.6,16.1,20.6,8.2,7.7,20.9,6.6,12.2,23.4,21.9,37192,402747,142656,432,Montana,30
27,"Nebraska: Summary level: 040, state:31",247893,84.2,17.8,32745,48408,33.2,7.6,3.7,2.9,2.5,2.2,2.2,1776166,229923,234901,17598,98.1,11.7,15.3,17.8,6.4,7.3,21.8,6.8,13.0,18.4,23.4,65852,719304,234901,705,Nebraska,31
28,"Nevada: Summary level: 040, state:32",327133,82.2,20.0,38951,51001,21.9,6.1,4.3,3.1,2.2,1.4,1.1,2666662,398027,323213,24403,102.0,11.3,12.9,14.4,5.9,7.8,22.2,7.8,13.5,22.9,17.5,97141,989811,323213,6758,Nevada,32
29,"New Hampshire: Summary level: 040, state:33",179649,83.3,24.5,37119,61042,27.3,6.9,4.4,3.0,2.5,1.9,1.8,1276614,105786,172358,10499,96.7,12.3,14.9,15.3,5.0,6.1,18.1,5.9,11.9,20.5,21.8,42581,515431,172358,790,New Hampshire,33
30,"New Jersey: Summary level: 040, state:34",1191030,78.0,23.2,41452,67681,28.2,6.4,4.0,3.0,2.5,2.0,2.0,8626524,884789,1152120,83418,94.8,11.6,15.4,12.2,6.1,8.3,21.6,8.3,15.6,21.5,30.6,214973,3172421,1152120,21701,New Jersey,34
31,"New Mexico: Summary level: 040, state:35",275387,77.0,24.5,33447,42090,21.4,5.4,4.4,3.2,2.4,1.9,1.5,2024716,413851,269749,32386,97.7,12.2,14.5,19.5,9.0,10.9,25.7,9.6,17.3,18.5,19.7,99329,765183,269749,3620,New Mexico,35
32,"New York: Summary level: 040, state:36",2624048,75.8,22.9,34518,54148,23.7,5.8,4.0,3.0,2.4,2.1,2.0,18879810,2821470,2524686,275073,93.8,11.6,15.3,12.1,6.6,9.0,23.2,8.8,16.3,20.9,28.0,997131,7196427,2524686,27416,New York,36
33,"North Carolina: Summary level: 040, state:37",1239719,74.8,19.9,31694,43326,20.6,5.0,4.3,3.1,2.3,1.8,1.6,9304553,1627602,1198871,118791,95.0,11.3,14.6,15.8,7.9,10.4,25.6,9.2,16.7,18.9,18.3,482298,3670859,1198871,7060,North Carolina,37
34,"North Dakota: Summary level: 040, state:38",98075,74.6,15.4,30669,48670,30.9,7.7,3.9,3.0,2.8,2.3,2.5,651415,84895,91961,11169,103.7,12.4,16.7,16.8,6.7,6.5,19.8,4.9,12.2,17.3,22.5,22964,280412,91961,206,North Dakota,38
35,"Ohio: Summary level: 040, state:39",1625778,78.7,16.8,31798,45090,21.8,4.9,4.2,3.2,2.6,2.1,2.0,11224969,1779032,1560684,120633,95.3,12.2,15.9,14.6,6.4,8.8,23.5,7.9,15.7,19.3,23.2,637612,4525066,1560684,7428,Ohio,39
36,"Oklahoma: Summary level: 040, state:40",509789,78.8,18.3,31486,42072,23.2,6.2,4.2,3.3,2.5,1.9,1.6,3646849,616610,491045,45508,97.4,12.0,15.1,18.6,8.2,10.3,29.3,9.1,17.1,19.7,19.3,195883,1432959,491045,2911,Oklahoma,40
37,"Oregon: Summary level: 040, state:41",534893,86.0,24.1,34901,46560,20.6,4.6,4.4,3.2,2.3,2.0,2.0,3765919,596408,524993,41403,98.2,12.5,15.4,18.1,7.0,11.4,23.0,9.4,16.0,21.3,21.7,269533,1507137,524993,3734,Oregon,41
38,"Pennsylvania: Summary level: 040, state:42",1965505,78.3,17.0,31364,49288,24.1,5.3,4.4,3.3,2.8,2.5,2.5,12298955,1648184,1886618,149175,95.0,13.3,17.5,14.6,6.1,8.6,22.4,7.9,16.0,21.0,26.9,564362,4936030,1886685,8084,Pennsylvania,42
39,"Rhode Island: Summary level: 040, state:44",152183,71.2,20.8,33192,52254,24.1,4.0,4.0,3.1,2.6,2.3,2.5,1012200,142188,144344,11783,93.3,12.3,16.4,14.3,5.1,7.9,22.8,6.9,14.9,20.0,27.3,58475,402295,144344,1272,Rhode Island,44
40,"South Carolina: Summary level: 040, state:45",634930,73.8,20.8,31691,42018,18.8,5.0,4.6,3.5,2.4,1.7,1.6,4493865,815755,616863,60651,94.5,12.2,15.1,14.7,7.9,11.0,25.7,8.9,16.9,19.7,17.8,255795,1761393,616863,3602,South Carolina,45
41,"South Dakota: Summary level: 040, state:46",117907,79.9,17.2,29950,45904,29.6,6.7,4.0,3.2,2.6,2.2,2.4,788226,113760,111405,12376,101.5,12.6,16.3,18.2,6.4,7.4,21.3,6.8,11.5,19.4,23.0,32558,318955,111405,272,South Dakota,46
42,"Tennessee: Summary level: 040, state:47",859922,70.9,16.3,30160,41461,20.0,4.8,4.4,3.3,2.5,1.7,1.6,6195120,1095466,833418,80712,94.9,11.9,15.1,16.9,8.7,11.9,28.2,10.7,18.8,20.3,18.7,415861,2440663,833418,5490,Tennessee,47
43,"Texas: Summary level: 040, state:48",2618943,73.1,21.4,34178,48615,24.1,5.6,3.4,2.5,1.9,1.4,1.2,24652927,4414481,2536727,271819,98.5,9.1,11.6,16.9,8.4,10.8,27.4,10.7,18.1,18.4,18.0,1123649,8738664,2536727,53575,Texas,48
44,"Utah: Summary level: 040, state:49",250800,87.7,25.9,40784,54744,24.6,5.1,2.8,2.2,1.6,1.3,1.1,2730176,359242,246462,14862,101.4,8.1,10.0,17.0,6.3,8.2,18.9,6.9,14.0,19.3,22.5,78187,880025,246462,1550,Utah,49
45,"Vermont: Summary level: 040, state:50",91231,81.6,29.2,33474,49406,32.3,5.4,5.0,2.9,2.5,2.0,2.1,600850,76352,87709,5959,97.0,13.1,16.0,16.1,5.4,8.9,19.1,6.9,13.2,21.5,23.0,33981,256922,87709,119,Vermont,50
46,"Virginia: Summary level: 040, state:51",980275,76.3,24.3,39274,60674,25.6,5.7,4.0,2.9,2.2,1.6,1.5,7780635,861969,954849,70863,96.6,10.7,13.6,14.0,6.3,8.7,22.8,8.0,15.4,15.7,16.0,256388,2992732,954849,9981,Virginia,51
47,"Washington: Summary level: 040, state:53",830378,85.9,26.2,39207,55631,20.5,4.3,4.0,2.8,2.1,1.6,1.8,6615922,888718,810075,55558,99.2,11.0,13.6,17.7,6.5,10.0,23.3,8.7,15.8,19.0,18.3,346450,2606863,810075,6001,Washington,53
48,"West Virginia: Summary level: 040, state:54",298606,69.7,11.5,26796,38218,15.7,3.5,5.1,3.7,3.0,2.2,2.0,1799960,326507,289849,28610,97.1,14.2,17.9,19.4,9.4,11.6,29.1,10.5,19.1,20.5,21.9,114433,741940,289849,1189,West Virginia,54
49,"Wisconsin: Summary level: 040, state:55",779510,81.7,18.9,32315,49001,22.4,4.9,4.0,3.1,2.5,2.1,2.1,5535803,731479,749135,53476,98.7,12.0,15.4,14.2,5.4,6.7,19.7,6.6,13.1,19.9,24.0,249977,2279532,749135,2123,Wisconsin,55
50,"Wyoming: Summary level: 040, state:56",70186,83.8,20.1,33777,53512,26.9,5.6,4.0,3.1,2.1,1.7,1.6,551120,61577,67796,4635,103.5,11.3,13.6,19.1,7.5,8.6,19.4,4.9,11.8,17.5,16.8,13874,222803,67796,465,Wyoming,56
51,"Puerto Rico: Summary level: 040, state:72",545721,42.2,11.7,14852,18862,9.6,2.6,4.7,3.7,2.8,1.8,1.6,3685731,1659792,538599,213076,92.2,13.3,15.9,14.6,18.6,19.1,36.0,13.2,30.4,23.8,29.9,484807,1319448,538599,3915,Puerto Rico,72
