,Unnamed: 0,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,fips
38,"Arizona: Summary level: 040, state:04",5590505,336340,330599,237873,15661,373688,286980,7171646,301407,173341,47835,339971,190187,73748,9411.0,3729.0,462.0,11031.0,3879.0,1869.0,8653.0,3124.0,1209.0,10079.0,5171.0,1893.0,7208.0,2481.0,1178.0,11421.0,4943.0,1567.0,722.0,0.0,0.0,260.0,135.0,0.0,7574.0,2174.0,912.0,8796.0,4369.0,1017.0,5452,2138,390,5971,2737,659,46357,19958,4527,54197,25901,9131,Arizona,04
39,"Tennessee: Summary level: 040, state:47",5235588,1137801,19136,119046,5494,101153,151792,6770010,266552,130140,33619,298978,164857,66755,32956.0,13268.0,2276.0,44534.0,19276.0,8960.0,583.0,235.0,0.0,659.0,56.0,120.0,3358.0,710.0,440.0,4576.0,1581.0,414.0,,,,,,,893.0,175.0,131.0,923.0,251.0,0.0,2683,944,295,1738,1282,385,4364,2108,158,4814,1261,1083,Tennessee,47
40,"Kansas: Summary level: 040, state:20",2446823,171141,26829,82444,2929,73293,108051,2911510,115923,53600,22344,125060,72214,37870,5189.0,1471.0,945.0,5599.0,3299.0,1492.0,544.0,123.0,72.0,897.0,340.0,220.0,1801.0,710.0,164.0,3255.0,673.0,240.0,,,,,,,1692.0,372.0,13.0,1400.0,185.0,158.0,1468,442,20,889,879,248,5727,2221,339,5510,2783,1028,Kansas,20
41,"Colorado: Summary level: 040, state:08",4790677,237578,55146,180277,7585,196831,227470,5695564,217892,91372,30171,236091,110516,51622,6366.0,2169.0,558.0,7219.0,3580.0,1240.0,1765.0,456.0,37.0,2218.0,813.0,519.0,5417.0,1748.0,389.0,7998.0,2233.0,1185.0,611.0,0.0,116.0,221.0,330.0,0.0,4618.0,1416.0,334.0,5360.0,1209.0,955.0,3254,504,135,3388,1685,145,24404,11310,2622,28175,13544,5065,Colorado,08
42,"Indiana: Summary level: 040, state:18",5539927,637277,14040,154220,3470,162303,180641,6691878,261859,122098,40704,293586,165215,75687,17896.0,6154.0,2900.0,22939.0,11841.0,4344.0,688.0,47.0,0.0,254.0,278.0,114.0,2456.0,1555.0,171.0,5251.0,1279.0,874.0,,,,,,,2651.0,707.0,397.0,1742.0,428.0,706.0,1682,222,109,2408,961,430,6142,2346,1268,5868,2877,1497,Indiana,18
43,"Kentucky: Summary level: 040, state:21",3875023,354761,8470,65300,4943,51887,108018,4468402,189418,86962,25229,213307,115765,48147,10785.0,3910.0,1471.0,14236.0,7052.0,2872.0,,,,,,,1603.0,197.0,112.0,1846.0,1007.0,176.0,,,,,,,274.0,371.0,101.0,283.0,163.0,241.0,1741,680,55,1388,684,228,2230,787,229,2142,1411,607,Kentucky,21
44,"Louisiana: Summary level: 040, state:22",2877115,1509407,25657,76255,1133,65366,105045,4659978,144673,67777,20575,159251,88951,37615,51952.0,17538.0,4631.0,65982.0,31800.0,9663.0,1062.0,515.0,81.0,1148.0,444.0,282.0,2044.0,1178.0,95.0,3105.0,1194.0,218.0,,,,,,,846.0,27.0,59.0,1102.0,846.0,75.0,1551,612,216,2119,946,303,6405,2175,293,5866,3094,1209,Louisiana,22
45,"Illinois: Summary level: 040, state:17",9135145,1793079,35846,717938,5317,712778,340977,12741080,431870,207534,74476,478968,270813,147574,56567.0,26424.0,6741.0,80263.0,42778.0,17636.0,945.0,199.0,173.0,714.0,1162.0,167.0,25939.0,11273.0,2498.0,30688.0,15329.0,4699.0,,,,,,,12897.0,2992.0,2207.0,13116.0,6181.0,2113.0,5111,1263,518,6069,1643,708,43007,16077,4807,44863,20766,7976,Illinois,17
46,"Iowa: Summary level: 040, state:19",2846099,115137,11494,79971,3463,30713,69268,3156145,139792,69161,25229,150308,89032,49558,2233.0,307.0,0.0,1715.0,1352.0,112.0,353.0,6.0,44.0,234.0,459.0,113.0,619.0,520.0,0.0,2162.0,1393.0,282.0,,,,,,,472.0,0.0,45.0,194.0,69.0,0.0,387,241,45,844,284,188,2188,463,392,2131,796,357,Iowa,19
47,"New Hampshire: Summary level: 040, state:33",1253931,23432,3562,36048,515,9013,29957,1356458,68843,29447,10926,73755,36299,19322,683.0,0.0,147.0,160.0,0.0,122.0,,,,,,,473.0,305.0,0.0,602.0,714.0,105.0,,,,,,,208.0,112.0,0.0,185.0,169.0,102.0,582,165,31,441,522,69,794,330,168,1141,287,280,New Hampshire,33
48,"Arkansas: Summary level: 040, state:05",2306096,456714,20951,47548,9398,84917,88201,3013825,118648,62170,18251,133693,78760,32035,15004.0,5225.0,1199.0,19938.0,6489.0,3777.0,950.0,86.0,0.0,831.0,148.0,87.0,823.0,312.0,0.0,1703.0,346.0,52.0,56.0,48.0,0.0,0.0,0.0,21.0,791.0,87.0,210.0,429.0,184.0,66.0,1883,284,95,2059,560,376,2753,685,571,2072,1005,460,Arkansas,05
49,"Delaware: Summary level: 040, state:10",659781,217594,4397,39023,896,19652,25828,967171,40555,19308,6777,45718,24786,9742,7042.0,3256.0,755.0,9344.0,4987.0,1082.0,,,,,,,1091.0,659.0,73.0,1772.0,766.0,58.0,,,,,,,294.0,0.0,0.0,535.0,37.0,6.0,257,96,0,478,69,0,1205,708,96,1183,872,130,Delaware,10
50,"Minnesota: Summary level: 040, state:27",4629375,367653,60983,273126,2396,102814,174832,5611179,230703,109491,41448,246517,141031,69914,5986.0,2083.0,508.0,6882.0,3174.0,923.0,1675.0,289.0,186.0,1824.0,457.0,55.0,4660.0,1978.0,550.0,6342.0,2416.0,1215.0,,,,,,,761.0,462.0,68.0,1170.0,342.0,28.0,1688,360,147,2162,692,309,3093,1322,398,3815,1701,254,Minnesota,27
51,"Montana: Summary level: 040, state:30",941438,5056,68013,8517,990,5828,32463,1062305,56816,26791,7662,56462,29115,12383,,,,,,,2350.0,495.0,114.0,2160.0,858.0,208.0,363.0,0.0,146.0,518.0,195.0,61.0,,,,,,,,,,,,,918,145,64,1103,487,49,816,179,166,907,368,0,Montana,30
