,Unnamed: 0,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,fips
30,"North Dakota: Summary level: 040, state:38",626192,10202,37301,6737,1190,3916,14090,699628,23265,13761,5833,24671,19756,10165,35.0,0.0,0.0,0.0,0.0,0.0,729.0,163.0,6.0,879.0,263.0,58.0,,,,,,,,,,,,,39.0,74.0,0.0,0.0,0.0,0.0,98,15,0,92,126,60,78,74,34,137,34,0,North Dakota,38
31,"Ohio: Summary level: 040, state:39",9547022,1413110,21692,200878,4101,91448,265974,11544225,385986,200286,72729,438972,278347,151894,34877.0,17340.0,5249.0,45691.0,29195.0,13068.0,1336.0,320.0,0.0,820.0,263.0,351.0,5745.0,2207.0,228.0,5716.0,2065.0,666.0,,,,,,,848.0,304.0,27.0,845.0,522.0,45.0,3637,961,205,3891,1981,681,4829,2556,734,5888,3461,830,Ohio,39
32,"Oklahoma: Summary level: 040, state:40",2805612,272820,278028,70527,3925,89408,294500,3814820,120406,62568,19951,135430,83436,38176,6549.0,2955.0,911.0,7851.0,4365.0,1965.0,7488.0,2302.0,915.0,8274.0,3274.0,1727.0,1384.0,335.0,43.0,1708.0,808.0,856.0,8.0,0.0,0.0,44.0,63.0,0.0,924.0,383.0,141.0,732.0,289.0,0.0,5793,2400,708,7083,2784,978,3382,1498,259,3565,1772,703,Oklahoma,40
33,"Oregon: Summary level: 040, state:41",3321591,69719,47066,149455,16415,138756,156351,3899353,148071,70506,27872,160708,87987,51588,1669.0,1001.0,0.0,1386.0,653.0,673.0,1277.0,413.0,77.0,1986.0,719.0,65.0,3315.0,1921.0,322.0,4504.0,2217.0,1116.0,231.0,101.0,0.0,403.0,104.0,104.0,743.0,266.0,146.0,1028.0,891.0,28.0,2582,472,327,2151,1629,441,4079,1934,370,5043,2744,782,Oregon,41
34,"Pennsylvania: Summary level: 040, state:42",10456819,1400003,21310,368996,7135,245676,263597,12763536,445831,249064,97650,507268,351615,201692,31924.0,17108.0,4031.0,47049.0,28315.0,12137.0,520.0,30.0,142.0,347.0,7.0,78.0,8432.0,3881.0,438.0,9084.0,4492.0,1567.0,,,,,,,2817.0,892.0,201.0,3254.0,1677.0,693.0,2544,1240,465,3447,1125,873,10382,4265,901,12959,5319,2361,Pennsylvania,42
35,"Rhode Island: Summary level: 040, state:44",857897,67840,4809,33814,201,56524,29207,1050292,34957,18430,8339,40618,27204,18300,767.0,803.0,110.0,1453.0,979.0,303.0,,,,,,,741.0,63.0,0.0,633.0,472.0,96.0,,,,,,,779.0,307.0,77.0,418.0,200.0,574.0,607,228,0,518,76,144,1810,673,114,2326,1059,379,Rhode Island,44
36,"South Carolina: Summary level: 040, state:45",3165844,1307087,15317,59956,1738,79046,94735,4723723,154292,71522,18131,169771,90532,40680,36339.0,14013.0,4318.0,48885.0,24733.0,9962.0,442.0,130.0,0.0,597.0,136.0,120.0,1342.0,252.0,0.0,1787.0,632.0,249.0,,,,,,,772.0,0.0,0.0,909.0,242.0,0.0,1027,238,19,1827,563,251,2341,555,379,3042,1165,295,South Carolina,45
37,"South Dakota: Summary level: 040, state:46",711562,13055,73305,9537,460,7755,17680,833354,28601,16798,6337,29782,21585,13179,0.0,0.0,0.0,11.0,8.0,116.0,1178.0,410.0,136.0,1495.0,375.0,115.0,169.0,86.0,0.0,104.0,0.0,0.0,,,,,,,22.0,0.0,189.0,0.0,0.0,0.0,116,54,0,145,81,0,366,82,189,167,163,13,South Dakota,46
38,"Tennessee: Summary level: 040, state:47",5036564,1091759,17594,96086,2618,93258,118364,6456243,222318,105229,28401,246164,145877,61457,23379.0,9386.0,2888.0,32340.0,18496.0,6554.0,505.0,73.0,127.0,498.0,296.0,35.0,2131.0,947.0,101.0,3383.0,891.0,192.0,,,,,,,1029.0,89.0,202.0,827.0,118.0,144.0,2037,652,126,2121,1006,493,2429,1367,654,2215,2258,454,Tennessee,47
39,"Texas: Summary level: 040, state:48",19546170,3099425,126041,1052002,21938,1599204,614423,26059203,647391,315204,99853,720079,419125,189834,65027.0,27002.0,6352.0,81958.0,44703.0,18647.0,3799.0,1766.0,544.0,3331.0,1217.0,592.0,24576.0,10011.0,1673.0,27664.0,12319.0,2633.0,229.0,43.0,32.0,210.0,43.0,0.0,21969.0,8943.0,2099.0,29163.0,13887.0,5086.0,8417,4378,881,11142,4231,1669,162290,72640,20696,198553,105255,37960,Texas,48
40,"Utah: Summary level: 040, state:49",2514908,31797,31448,62575,25765,119195,69599,2855287,69512,36690,11836,75682,45514,18375,232.0,138.0,0.0,595.0,233.0,116.0,787.0,281.0,0.0,507.0,367.0,0.0,1378.0,458.0,380.0,1763.0,816.0,409.0,127.0,105.0,88.0,327.0,50.0,0.0,673.0,603.0,0.0,1416.0,313.0,80.0,790,104,102,679,228,128,3901,1943,219,4236,1900,749,Utah,49
41,"Vermont: Summary level: 040, state:50",595252,6411,2165,8234,0,1349,12600,626011,26913,12299,4523,28099,16336,8731,,,,,,,,,,,,,19.0,6.0,0.0,329.0,80.0,0.0,,,,,,,,,,,,,122,9,34,92,155,0,268,176,54,73,193,0,Vermont,50
42,"Virginia: Summary level: 040, state:51",5661067,1576258,23022,469669,5008,187150,263693,8185867,231053,109129,35092,254609,143712,73834,40719.0,17605.0,4582.0,53592.0,28608.0,12819.0,920.0,304.0,0.0,761.0,134.0,0.0,11461.0,3864.0,938.0,14396.0,6347.0,2116.0,,,,,,,1452.0,326.0,159.0,2000.0,820.0,180.0,2897,801,135,4121,1862,523,6047,2305,689,8965,4187,1218,Virginia,51
43,"Washington: Summary level: 040, state:53",5402912,248631,95015,509565,41156,255271,344462,6897012,223660,103194,39963,238555,133622,70025,5439.0,2299.0,725.0,4778.0,3301.0,1231.0,1862.0,583.0,62.0,2560.0,1181.0,462.0,13692.0,6285.0,1404.0,18889.0,9475.0,3617.0,723.0,336.0,0.0,711.0,269.0,75.0,2798.0,1044.0,190.0,2232.0,804.0,225.0,4278,1087,535,3701,1205,541,8600,2998,559,8568,3174,1175,Washington,53
44,"West Virginia: Summary level: 040, state:54",1738148,61306,2636,12173,717,4404,36029,1855413,81633,41110,10856,88070,53021,26157,1640.0,852.0,121.0,1348.0,1403.0,557.0,,,,,,,257.0,91.0,9.0,280.0,325.0,0.0,,,,,,,,,,,,,1061,199,167,1100,253,30,562,285,0,432,355,0,West Virginia,54
45,"Wisconsin: Summary level: 040, state:55",4967566,359317,52161,135815,1066,96143,114330,5726398,199765,106658,40604,215529,144465,78068,5734.0,2840.0,583.0,8008.0,3340.0,1954.0,1180.0,393.0,72.0,1255.0,722.0,176.0,1426.0,651.0,61.0,2534.0,1403.0,239.0,,,,,,,791.0,308.0,0.0,936.0,921.0,0.0,1070,294,105,1407,378,155,3308,1607,304,3810,2298,589,Wisconsin,55
46,"Wyoming: Summary level: 040, state:56",523798,5720,12375,5637,78,11161,17643,576412,20643,9568,3291,21186,11499,5598,,,,,,,91.0,117.0,33.0,213.0,68.0,124.0,,,,,,,,,,,,,159.0,422.0,0.0,159.0,423.0,0.0,271,27,0,496,16,0,712,772,23,1254,789,124,Wyoming,56
47,"Puerto Rico: Summary level: 040, state:72",2536665,304289,13043,13723,120,351940,447304,3667084,109572,55844,21772,137789,76977,34782,13453.0,6925.0,2050.0,14540.0,7372.0,2729.0,353.0,107.0,55.0,221.0,0.0,53.0,233.0,0.0,102.0,251.0,362.0,330.0,,,,,,,12828.0,4275.0,1648.0,14401.0,6940.0,2723.0,15856,5985,1812,17394,8724,3576,150586,72294,27160,182886,99724,43863,Puerto Rico,72
48,"Alabama: Summary level: 040, state:01",3333371,1276164,24136,58679,1358,52468,75847,4822023,150079,74176,21314,171164,101179,43801,31753.0,14076.0,3166.0,42806.0,23438.0,10716.0,757.0,271.0,0.0,1172.0,122.0,77.0,1177.0,406.0,247.0,1790.0,521.0,219.0,,,,,,,131.0,0.0,26.0,290.0,218.0,0.0,1528,569,295,1780,614,354,1399,852,95,1838,693,136,Alabama,01
49,"Alaska: Summary level: 040, state:02",486551,26207,102582,42790,8231,6796,58292,731449,16857,5847,1142,14596,5962,2862,326.0,184.0,0.0,333.0,266.0,29.0,2235.0,742.0,177.0,2303.0,1367.0,871.0,407.0,296.0,542.0,1851.0,348.0,146.0,79.0,253.0,0.0,262.0,10.0,0.0,143.0,0.0,0.0,126.0,0.0,7.0,316,207,4,520,471,32,259,140,0,687,293,5,Alaska,02
50,"Arizona: Summary level: 040, state:04",5164199,286343,289883,190390,12037,420902,189501,6553255,240125,125879,40623,262501,145895,66342,6068.0,2450.0,221.0,7173.0,3130.0,972.0,5555.0,2859.0,543.0,7396.0,3550.0,1323.0,4165.0,1952.0,678.0,6891.0,3232.0,743.0,244.0,42.0,0.0,302.0,189.0,0.0,5578.0,2519.0,966.0,7336.0,4001.0,1339.0,2309,1183,269,3318,879,346,30741,13567,4215,36071,18547,6755,Arizona,04
51,"Arkansas: Summary level: 040, state:05",2307951,462182,17485,39448,5221,58865,57979,2949131,105379,53926,14610,117700,69679,30612,10467.0,4164.0,1257.0,12231.0,6755.0,3982.0,279.0,88.0,142.0,479.0,298.0,134.0,747.0,159.0,0.0,938.0,350.0,0.0,,,,,,,445.0,0.0,8.0,585.0,65.0,0.0,1505,604,143,2126,955,290,1661,284,48,1895,352,50,Arkansas,05
