,Unnamed: 0,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C03_014E,S1903_C03_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_033E,S0101_C03_030E,S0101_C05_030E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_013E,S2701_C04_013E,state,fips
10,"Mississippi: Summary level: 040, state:28",474423,379031,98986,36415,44717,21.0,6.0,155567,128789,89936,53771,46360,2886448,567645,461025,57037,94.0,205669,268754,14.9,9.2,10.3,27.0,9.4,16.9,39330,31546,164100,1108630,461025,1200,Mississippi,28
11,"Connecticut: Summary level: 040, state:09",613147,535509,206383,54629,76348,31.2,9.6,187057,156003,112448,69943,87696,3468263,361377,592201,47078,95.0,267872,345275,12.0,4.9,7.5,18.2,6.9,12.8,45626,49873,154161,1378091,592201,3805,Connecticut,09
12,"Texas: Summary level: 040, state:48",3599599,2880131,986108,44319,60629,27.3,8.0,1231266,943028,627484,414886,382935,28074573,4180675,3514628,391187,98.6,1605880,1993719,15.2,7.5,9.6,23.8,8.8,14.9,341826,266691,1166233,9776083,3514628,68092,Texas,48
13,"Idaho: Summary level: 040, state:16",279441,256615,71439,42678,55583,22.3,6.5,96524,71873,52724,28617,29703,1723154,203264,274610,23668,101.2,132466,146975,18.7,6.2,8.7,18.9,6.9,11.9,34026,26967,56753,640270,274610,729,Idaho,16
14,"Maryland: Summary level: 040, state:24",931041,807120,331232,59536,83242,30.7,8.4,303106,243336,169159,106925,108515,5899819,528203,908142,66432,94.2,401479,529562,11.8,5.1,7.9,19.4,7.1,12.9,82057,78147,208654,2215935,908142,7939,Maryland,24
15,"New Mexico: Summary level: 040, state:35",368480,306557,116831,39989,47169,20.5,6.0,122403,98806,63948,42588,40735,2051759,399456,363241,48423,98.5,168325,200155,19.4,7.9,10.2,24.4,8.2,16.1,40562,31914,137059,794093,363241,3427,New Mexico,35
16,"Alabama: Summary level: 040, state:01",829663,685342,187352,37977,49861,20.4,6.3,269845,223551,152542,98483,85242,4763828,800422,812054,83248,94.1,360970,468693,15.4,7.0,10.2,25.4,9.0,16.4,86744,64382,247434,1855184,812054,2352,Alabama,01
17,"Tennessee: Summary level: 040, state:47",1104797,907962,254033,39933,52375,23.6,7.1,366664,291896,202763,130012,113462,6603013,1011016,1076649,98654,95.2,489258,615539,16.1,7.3,9.7,24.1,8.1,15.2,113201,91331,337798,2603140,1076649,4739,Tennessee,47
18,"Vermont: Summary level: 040, state:50",123875,112201,43647,44302,60782,34.1,9.5,43128,32627,21829,13142,13149,601261,66013,120565,11206,96.8,56776,67099,16.1,5.5,8.3,16.8,5.9,11.0,10745,9884,27163,261373,120565,640,Vermont,50
19,"Nevada: Summary level: 040, state:32",475120,415755,125848,46406,58646,23.3,6.3,158429,133567,86017,52827,44280,2991978,387327,470624,46171,100.7,223916,251204,14.7,7.0,8.1,21.7,7.8,12.7,56034,44122,126476,1129810,470624,6473,Nevada,32
20,"West Virginia: Summary level: 040, state:54",361216,297867,66425,36147,44097,19.1,6.2,127674,87616,64656,41051,40219,1753476,312188,351987,35163,98.2,164728,196488,18.9,8.8,10.4,26.1,8.7,17.0,38692,30565,122014,734703,351987,1436,West Virginia,54
21,"Oklahoma: Summary level: 040, state:40",619601,539930,152353,40928,51924,25.0,8.4,199393,162446,109524,75655,72583,3825027,596949,600665,52362,97.8,275737,343864,19.9,8.8,10.2,28.1,8.4,15.6,73308,56260,185838,1485310,600665,4124,Oklahoma,40
22,"Wisconsin: Summary level: 040, state:55",986483,888179,242746,41362,60773,23.6,6.2,328703,242969,170480,119576,124755,5665153,625826,961435,76035,98.9,449922,536561,13.5,4.7,6.3,17.4,6.1,11.2,97675,85934,238242,2371960,961435,2632,Wisconsin,55
23,"Puerto Rico: Summary level: 040, state:72",661216,379196,116432,17387,20296,9.2,2.6,187615,174204,128683,89096,81618,3165711,1363666,653327,249581,90.8,287877,373339,14.1,15.8,17.2,32.1,14.7,26.8,19143,26656,492527,1179637,653327,4486,Puerto Rico,72
24,"Kansas: Summary level: 040, state:20",462191,418562,133729,42989,58218,28.4,7.0,157273,106777,78558,55797,63786,2825680,338175,443575,35287,99.2,207120,255071,17.3,6.1,8.2,22.1,6.9,13.2,45622,40684,82465,1133408,443575,2049,Kansas,20
25,"Virginia: Summary level: 040, state:51",1318225,1116002,434616,51401,72577,27.3,7.7,445145,334357,235977,154560,148186,8264095,884647,1292388,108340,96.9,584381,733844,13.7,6.3,8.3,20.9,7.9,14.0,142473,113214,251693,3175524,1292388,13976,Virginia,51
